designation        ,ra         ,dec        ,glon       ,glat       ,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,E_B_V_SFD
J102909.85+241219.0,157.2910633,24.2052884 ,210.0613079,57.9133530 ,14.630,0.030    ,14.375,0.046    ,12.213,0.327    ,8.946 ,null     ,15.840   ,0.059       ,15.192   ,0.060       ,14.983   ,0.092       ,0.0167     
J102938.67+541654.6,157.4111254,54.2818475 ,156.7346400,52.5117584 ,15.661,0.041    ,15.673,0.120    ,12.207,0.322    ,8.538 ,null     ,16.806   ,0.143       ,16.056   ,0.185       ,15.528   ,0.186       ,0.0265     
J103348.53+083122.2,158.4522084,8.5228449  ,236.1870688,52.5371091 ,14.120,0.029    ,13.893,0.046    ,11.837,0.351    ,8.516 ,null     ,15.412   ,0.060       ,14.949   ,0.067       ,14.240   ,0.070       ,0.0243     
J103601.93+101114.2,159.0080791,10.1873000 ,234.3725831,53.9124647 ,15.052,0.037    ,14.823,0.082    ,11.785,0.361    ,8.644 ,null     ,16.575   ,0.146       ,15.534   ,0.121       ,15.832   ,0.309       ,0.0286     
J103909.62+593745.1,159.7900885,59.6292221 ,148.5764410,50.3981272 ,14.029,0.027    ,14.040,0.039    ,12.049,0.314    ,8.777 ,null     ,14.929   ,0.044       ,14.292   ,0.050       ,14.081   ,0.067       ,0.0096     
J104231.82+093113.7,160.6326189,9.5204889  ,236.8465673,54.8780890 ,15.599,0.049    ,15.154,0.097    ,11.883,0.323    ,8.948 ,null     ,16.773   ,0.157       ,16.186   ,0.201       ,15.348   ,0.181       ,0.0273     
J104651.21+514442.1,161.7133837,51.7450327 ,157.9385616,56.0661050 ,14.970,0.033    ,14.765,0.055    ,12.097,0.278    ,9.140 ,null     ,16.123   ,0.079       ,15.595   ,0.113       ,15.220   ,0.128       ,0.0116     
J110947.57+381918.4,167.4482421,38.3217817 ,178.7386509,65.9829457 ,14.700,0.030    ,14.065,0.040    ,11.452,0.179    ,8.343 ,null     ,15.745   ,0.074       ,14.959   ,0.090       ,14.727   ,0.114       ,0.0236     
J113024.98+291415.8,172.6040934,29.2377358 ,201.4407278,72.0445214 ,13.050,0.023    ,12.823,0.026    ,11.623,0.234    ,8.144 ,null     ,14.063   ,0.026       ,13.585   ,0.032       ,13.279   ,0.038       ,0.0225     
J113551.75+530644.9,173.9656389,53.1124746 ,146.1606548,60.4740008 ,13.384,0.024    ,13.178,0.027    ,11.873,0.222    ,9.012 ,null     ,14.515   ,0.034       ,13.844   ,0.038       ,13.627   ,0.050       ,0.0085     
J114905.80+390245.0,177.2741989,39.0458534 ,166.4787042,72.3698661 ,14.365,0.029    ,14.143,0.043    ,12.040,0.307    ,8.912 ,null     ,15.319   ,0.050       ,14.932   ,0.073       ,14.695   ,0.082       ,0.0256     
J114912.18-015300.7,177.3007878,-1.8835280 ,273.1422318,57.3439714 ,13.398,0.026    ,13.050,0.030    ,11.721,0.289    ,8.927 ,null     ,14.671   ,0.037       ,14.131   ,0.044       ,13.709   ,0.066       ,0.0207     
J115912.33+184653.6,179.8013931,18.7815727 ,244.9964624,75.3796283 ,14.504,0.030    ,14.286,0.049    ,12.217,0.342    ,8.348 ,null     ,15.657   ,0.068       ,15.000   ,0.076       ,14.974   ,0.118       ,0.0307     
J120046.75+374632.4,180.1948171,37.7756715 ,164.7739881,74.9429854 ,14.056,0.028    ,13.813,0.037    ,12.147,0.331    ,8.932 ,null     ,15.030   ,0.039       ,14.492   ,0.055       ,14.263   ,0.062       ,0.0155     
J120252.51+622613.2,180.7187996,62.4370027 ,132.4133704,53.7882867 ,13.884,0.025    ,13.809,0.033    ,12.228,0.291    ,9.224 ,0.514    ,14.903   ,0.042       ,14.294   ,0.051       ,14.102   ,0.073       ,0.0176     
J120333.74+491439.6,180.8906240,49.2443463 ,142.4017782,66.0348173 ,13.964,0.025    ,13.897,0.031    ,12.163,0.247    ,9.121 ,0.349    ,15.205   ,0.038       ,14.450   ,0.041       ,14.239   ,0.062       ,0.0257     
J120428.59+325756.9,181.1191662,32.9658225 ,180.2049158,78.2916963 ,13.691,0.025    ,13.588,0.035    ,11.997,0.283    ,8.343 ,null     ,14.903   ,0.039       ,14.185   ,0.047       ,14.045   ,0.057       ,0.0208     
J120446.29+402559.5,181.1928975,40.4332021 ,155.9001273,73.5696550 ,14.304,0.027    ,13.102,0.028    ,9.688 ,0.048    ,7.295 ,0.1      ,15.857   ,0.078       ,15.190   ,0.092       ,15.181   ,0.145       ,0.0166     
J120652.81+271706.1,181.7200552,27.2850464 ,209.4755005,80.0950538 ,13.278,0.024    ,13.117,0.028    ,11.976,0.274    ,8.460 ,null     ,14.323   ,0.030       ,13.692   ,0.025       ,13.450   ,0.034       ,0.0200     
J120922.32-002101.8,182.3430275,-0.3505051 ,281.0206579,60.7191386 ,13.609,0.026    ,13.543,0.036    ,12.037,0.351    ,8.831 ,null     ,14.556   ,0.028       ,13.868   ,0.033       ,13.693   ,0.046       ,0.0196     
J121019.47-010125.0,182.5811302,-1.0236239 ,281.9212686,60.1602271 ,14.183,0.029    ,14.183,0.058    ,11.865,0.341    ,8.680 ,null     ,15.156   ,0.036       ,14.504   ,0.038       ,14.358   ,0.082       ,0.0220     
J121222.03+600032.0,183.0918268,60.0089024 ,131.7573710,56.4449470 ,14.655,0.030    ,14.507,0.046    ,11.824,0.198    ,9.108 ,0.505    ,15.746   ,0.079       ,15.207   ,0.111       ,15.081   ,0.183       ,0.0206     
J122042.41+480906.6,185.1767214,48.1518590 ,136.7920714,68.1410499 ,14.601,0.028    ,14.532,0.050    ,12.197,0.309    ,8.373 ,0.329    ,15.588   ,0.066       ,14.992   ,0.082       ,14.564   ,0.098       ,0.0135     
J122135.07+350746.7,185.3961621,35.1296405 ,159.6638428,79.7686067 ,13.586,0.026    ,13.454,0.030    ,12.060,0.275    ,9.090 ,null     ,14.682   ,0.035       ,13.958   ,0.038       ,13.721   ,0.038       ,0.0136     
J122515.99+485651.8,186.3166250,48.9477339 ,134.2576801,67.6010649 ,14.001,0.025    ,13.795,0.034    ,12.131,0.297    ,8.582 ,null     ,15.087   ,0.045       ,14.491   ,0.045       ,14.173   ,0.063       ,0.0157     
J123055.07+344027.3,187.7294622,34.6742509 ,151.9024270,81.2675498 ,14.077,0.026    ,13.903,0.037    ,12.127,0.282    ,9.224 ,null     ,14.993   ,0.033       ,14.413   ,0.050       ,14.247   ,0.060       ,0.0182     
J123138.15+575342.9,187.9089631,57.8952624 ,128.0461436,59.0360120 ,13.282,0.024    ,13.158,0.026    ,11.803,0.200    ,9.259 ,null     ,14.273   ,0.029       ,13.609   ,0.044       ,13.461   ,0.035       ,0.0118     
J124203.88+345537.2,190.5161782,34.9270201 ,136.7780839,81.9477434 ,13.151,0.024    ,12.938,0.027    ,11.692,0.199    ,8.887 ,null     ,14.277   ,0.026       ,13.646   ,0.035       ,13.340   ,0.038       ,0.0138     
J125624.09+625648.4,194.1003772,62.9467806 ,121.9677737,54.1722660 ,15.161,0.032    ,14.965,0.062    ,12.213,0.326    ,9.168 ,null     ,16.254   ,0.103       ,15.893   ,0.146       ,15.525   ,0.194       ,0.0186     
J125740.09+430113.7,194.4170622,43.0204806 ,118.7828927,74.0576140 ,14.115,0.026    ,13.966,0.035    ,12.055,0.285    ,8.970 ,null     ,15.063   ,0.048       ,14.403   ,0.053       ,14.222   ,0.085       ,0.0145     
J130208.25+351525.3,195.5344145,35.2570430 ,107.8894339,81.5564542 ,14.124,0.027    ,14.018,0.036    ,12.373,0.335    ,9.090 ,null     ,15.042   ,0.041       ,14.648   ,0.056       ,14.327   ,0.062       ,0.0120     
J130212.45+435919.8,195.5518869,43.9888479 ,116.2938440,73.0004003 ,14.896,0.032    ,14.640,0.053    ,12.416,0.353    ,8.954 ,null     ,16.161   ,0.094       ,15.554   ,0.125       ,15.470   ,0.168       ,0.0181     
J133126.67+190950.8,202.8611539,19.1641201 ,354.1092169,77.8443215 ,14.093,0.027    ,13.885,0.036    ,12.055,0.303    ,8.802 ,null     ,15.358   ,0.057       ,14.730   ,0.079       ,14.392   ,0.087       ,0.0180     
J133402.65+101617.1,203.5110642,10.2714267 ,335.7284259,70.3804568 ,14.406,0.028    ,13.255,0.028    ,10.052,0.058    ,7.364 ,0.119    ,16.013   ,0.087       ,15.353   ,0.094       ,15.460   ,0.212       ,0.0287     
J134156.99+503319.6,205.4874980,50.5554525 ,103.9845213,64.6740128 ,14.003,0.026    ,13.813,0.032    ,12.427,0.334    ,9.286 ,null     ,14.832   ,0.041       ,14.392   ,0.055       ,14.062   ,0.059       ,0.0126     
J134421.14+124421.1,206.0881018,12.7392088 ,346.2505990,71.0136146 ,14.085,0.027    ,13.779,0.033    ,12.410,0.351    ,9.301 ,null     ,15.337   ,0.044       ,14.664   ,0.064       ,14.440   ,0.082       ,0.0275     
J135457.79+051239.4,208.7408074,5.2109458  ,340.3706048,63.3666683 ,14.496,0.029    ,14.216,0.042    ,12.310,0.351    ,9.189 ,null     ,15.714   ,0.065       ,15.089   ,0.089       ,14.636   ,0.093       ,0.0272     
J135630.98+502558.9,209.1291124,50.4330490 ,99.2692923 ,63.5999761 ,13.729,0.026    ,13.506,0.030    ,11.922,0.215    ,8.393 ,null     ,14.729   ,0.035       ,14.177   ,0.046       ,14.034   ,0.072       ,0.0112     
J140643.51+302600.0,211.6813234,30.4333541 ,48.7243170 ,73.1967465 ,14.928,0.031    ,14.780,0.055    ,12.564,0.354    ,9.315 ,null     ,15.962   ,0.076       ,15.394   ,0.109       ,15.183   ,0.132       ,0.0134     
J141534.43+203736.0,213.8934642,20.6266722 ,18.7644897 ,69.7296609 ,14.166,0.026    ,13.964,0.033    ,12.427,0.333    ,9.046 ,null     ,15.359   ,0.046       ,14.639   ,0.070       ,14.288   ,0.054       ,0.0246     
J143355.96+611838.3,218.4832011,61.3106461 ,103.3421489,51.7424983 ,13.366,0.023    ,13.176,0.026    ,12.107,0.199    ,8.903 ,null     ,14.447   ,0.034       ,13.794   ,0.047       ,13.585   ,0.051       ,0.0102     
J144148.49-013625.5,220.4520437,-1.6071071 ,350.1197602,50.8654348 ,13.995,0.026    ,13.763,0.036    ,12.264,0.301    ,8.889 ,null     ,15.224   ,0.045       ,14.614   ,0.058       ,14.207   ,0.075       ,0.0443     
J145126.50+590436.3,222.8604226,59.0767659 ,98.3056205 ,51.9289901 ,14.571,0.027    ,14.393,0.038    ,12.689,0.338    ,8.917 ,null     ,15.666   ,0.055       ,14.997   ,0.055       ,14.853   ,0.082       ,0.0103     
J145554.20+391838.6,223.9758609,39.3107283 ,66.1456822 ,61.4504808 ,15.089,0.032    ,14.897,0.052    ,12.684,0.357    ,9.566 ,null     ,16.110   ,0.091       ,15.625   ,0.137       ,15.049   ,0.149       ,0.0123     
J150206.59+440553.6,225.5274671,44.0982372 ,74.4915902 ,58.7988673 ,14.098,0.025    ,13.875,0.031    ,12.472,0.276    ,9.013 ,null     ,15.163   ,0.041       ,14.640   ,0.054       ,14.354   ,0.063       ,0.0189     
J150428.84+050222.6,226.1201823,5.0396117  ,4.0284846  ,51.3864264 ,13.633,0.025    ,13.531,0.033    ,12.256,0.278    ,9.342 ,null     ,14.651   ,0.036       ,13.967   ,0.038       ,13.783   ,0.063       ,0.0419     
J151610.39-014237.2,229.0433205,-1.7103506 ,359.1728725,44.7814197 ,12.390,0.023    ,12.353,0.025    ,11.349,0.141    ,8.912 ,null     ,13.478   ,0.024       ,12.733   ,0.022       ,12.514   ,0.029       ,0.1542     
J152830.99+380306.0,232.1291654,38.0516838 ,61.4277799 ,55.4486440 ,13.180,0.024    ,12.847,0.024    ,10.559,0.056    ,8.319 ,0.19     ,14.221   ,0.027       ,13.621   ,0.030       ,13.370   ,0.037       ,0.0142     
J152834.51+152930.3,232.1438210,15.4917535 ,23.4051044 ,51.7788981 ,14.023,0.026    ,13.894,0.037    ,12.449,0.288    ,8.840 ,null     ,15.055   ,0.031       ,14.440   ,0.045       ,14.238   ,0.043       ,0.0349     
J153056.66+205410.2,232.7360850,20.9028520 ,32.0355547 ,53.2007131 ,14.052,0.027    ,13.941,0.038    ,11.395,0.119    ,8.217 ,0.185    ,15.221   ,0.045       ,14.598   ,0.046       ,14.435   ,0.077       ,0.0626     
J153109.83+155536.9,232.7909774,15.9269432 ,24.4533676 ,51.3874499 ,13.471,0.024    ,13.244,0.028    ,12.140,0.236    ,9.042 ,0.375    ,14.682   ,0.038       ,13.996   ,0.039       ,13.780   ,0.047       ,0.0354     
J153139.12+543338.3,232.9130139,54.5606540 ,87.4116718 ,50.0417602 ,13.861,0.025    ,13.631,0.028    ,12.248,0.227    ,9.028 ,null     ,15.362   ,0.048       ,14.678   ,0.053       ,14.338   ,0.075       ,0.0168     
J153401.65+432831.3,233.5069105,43.4753832 ,70.3227610 ,53.4901995 ,14.536,0.026    ,14.386,0.034    ,12.604,0.245    ,9.727 ,null     ,15.416   ,0.048       ,14.985   ,0.067       ,14.847   ,0.125       ,0.0246     
J153657.45-020314.7,234.2394044,-2.0541003 ,3.4278481  ,40.6188301 ,15.271,0.040    ,15.294,0.102    ,12.037,0.344    ,9.193 ,null     ,16.414   ,0.105       ,15.780   ,0.132       ,15.430   ,0.198       ,0.1304     
J153825.48+322844.7,234.6062050,32.4791099 ,51.7049469 ,53.6117842 ,13.255,0.024    ,13.113,0.026    ,11.937,0.190    ,9.010 ,null     ,14.326   ,0.029       ,13.716   ,0.031       ,13.432   ,0.034       ,0.0310     
J154351.92+301628.6,235.9663723,30.2746143 ,48.2074157 ,52.2818644 ,13.803,0.025    ,13.702,0.032    ,12.462,0.290    ,9.366 ,0.438    ,14.848   ,0.035       ,14.195   ,0.045       ,13.981   ,0.045       ,0.0280     
J154409.66+502233.4,236.0402500,50.3759640 ,80.2633589 ,49.9162705 ,14.498,0.027    ,14.217,0.035    ,11.893,0.141    ,8.950 ,null     ,15.624   ,0.056       ,14.957   ,0.068       ,14.719   ,0.098       ,0.0182     
J154504.75+220651.8,236.2698003,22.1143922 ,35.4645149 ,50.4103867 ,14.244,0.026    ,13.976,0.035    ,12.476,0.260    ,8.998 ,null     ,15.692   ,0.078       ,15.040   ,0.102       ,14.695   ,0.130       ,0.0557     
J154655.09+314118.2,236.7295465,31.6883945 ,50.5959292 ,51.7651812 ,14.574,0.028    ,14.305,0.043    ,12.468,0.284    ,9.471 ,null     ,15.864   ,0.081       ,15.214   ,0.093       ,14.885   ,0.099       ,0.0288     
J154754.67+524857.5,236.9778167,52.8159933 ,83.4769501 ,48.5414096 ,12.477,0.023    ,12.247,0.021    ,10.228,0.041    ,7.500 ,0.082    ,13.466   ,0.023       ,12.841   ,0.018       ,12.632   ,0.025       ,0.0170     
J154831.37+425307.5,237.1307107,42.8854253 ,68.5504698 ,51.0096100 ,14.480,0.026    ,14.200,0.032    ,12.226,0.220    ,8.891 ,null     ,15.571   ,0.066       ,15.115   ,0.099       ,14.800   ,0.090       ,0.0236     
J155208.94+325515.9,238.0372500,32.9211031 ,52.6913716 ,50.7542615 ,13.122,0.025    ,12.926,0.025    ,11.441,0.111    ,9.118 ,null     ,14.287   ,0.029       ,13.685   ,0.035       ,13.424   ,0.039       ,0.0239     
J155241.27+363849.2,238.1719931,36.6470145 ,58.5842472 ,50.7440328 ,13.166,0.023    ,13.011,0.026    ,11.550,0.108    ,9.045 ,null     ,14.199   ,0.028       ,13.614   ,0.033       ,13.337   ,0.034       ,0.0210     
J155247.07+351809.2,238.1961319,35.3025656 ,56.4601136 ,50.7214461 ,15.124,0.032    ,14.703,0.048    ,11.638,0.124    ,8.865 ,0.287    ,17.296   ,0.214       ,16.362   ,0.243       ,16.034   ,0.240       ,0.0260     
J160355.89+240151.0,240.9828817,24.0308504 ,40.0089225 ,46.7432761 ,13.904,0.026    ,13.724,0.033    ,12.203,0.328    ,9.089 ,null     ,14.916   ,0.040       ,14.270   ,0.045       ,14.064   ,0.066       ,0.0782     
J160436.29+342908.3,241.1512263,34.4856627 ,55.3487829 ,48.2677081 ,14.606,0.028    ,14.310,0.038    ,12.584,0.265    ,9.445 ,0.448    ,15.885   ,0.078       ,15.191   ,0.120       ,14.820   ,0.098       ,0.0300     
J160556.53+095413.5,241.4855596,9.9037576  ,21.9216595 ,41.1411791 ,13.817,0.027    ,13.725,0.036    ,11.809,0.236    ,8.773 ,null     ,14.819   ,0.043       ,14.013   ,0.055       ,13.818   ,0.048       ,0.0595     
J161801.26+192207.1,244.5052762,19.3686586 ,35.1168234 ,42.2391548 ,14.361,0.026    ,14.329,0.041    ,12.153,0.348    ,9.205 ,null     ,15.320   ,0.043       ,14.603   ,0.055       ,14.445   ,0.068       ,0.0500     
J162026.48+273146.9,245.1103560,27.5297190 ,46.0819031 ,43.9414178 ,13.537,0.024    ,13.315,0.028    ,11.943,0.280    ,9.106 ,null     ,14.547   ,0.031       ,13.943   ,0.037       ,13.637   ,0.043       ,0.0515     
J163546.27+350427.9,248.9428163,35.0744300 ,56.9891688 ,41.9474831 ,13.539,0.024    ,13.552,0.028    ,11.717,0.212    ,8.487 ,null     ,14.513   ,0.029       ,13.830   ,0.031       ,13.750   ,0.048       ,0.0230     
J164153.16+125512.8,250.4715258,12.9202425 ,30.2143118 ,34.5140548 ,13.935,0.026    ,13.917,0.038    ,12.183,0.335    ,9.086 ,null     ,15.149   ,0.049       ,14.462   ,0.064       ,14.160   ,0.066       ,0.0522     
J185944.06+780420.6,284.9336188,78.0724077 ,109.6386287,26.0709096 ,14.041,0.025    ,14.079,0.030    ,12.548,0.249    ,9.089 ,0.323    ,15.141   ,0.047       ,14.497   ,0.060       ,14.277   ,0.068       ,0.0658     
J200027.25+595240.4,300.1135597,59.8779064 ,93.1566744 ,15.1847301 ,13.700,0.024    ,13.618,0.027    ,12.203,0.181    ,9.629 ,null     ,14.652   ,0.033       ,13.909   ,0.041       ,13.766   ,0.054       ,0.1018     
J205648.64-011356.5,314.2026740,-1.2323858 ,47.2533502 ,-28.2056700,14.717,0.033    ,14.327,0.054    ,11.701,0.276    ,8.297 ,null     ,15.730   ,0.070       ,14.918   ,0.079       ,14.845   ,0.092       ,0.0998     
J211453.37+092236.2,318.7223904,9.3767451  ,59.9976363 ,-26.1127195,14.256,0.028    ,14.282,0.046    ,12.112,0.327    ,8.914 ,null     ,15.174   ,0.038       ,14.456   ,0.037       ,14.241   ,0.068       ,0.0933     
J215040.07+000637.5,327.6669617,0.1104259  ,57.4138834 ,-38.7789797,14.880,0.033    ,14.637,0.059    ,12.086,0.317    ,8.561 ,null     ,15.831   ,0.078       ,15.127   ,0.083       ,15.135   ,0.140       ,0.1579     
J220627.96+203958.3,331.6165155,20.6661958 ,78.7587733 ,-27.7238866,14.072,0.028    ,13.868,0.038    ,12.063,0.309    ,8.898 ,null     ,14.891   ,0.045       ,14.403   ,0.048       ,14.103   ,0.049       ,0.0801     
J223754.20-085256.1,339.4758470,-8.8822553 ,56.6426036 ,-53.5753251,13.290,0.025    ,13.239,0.030    ,11.884,0.277    ,8.777 ,null     ,14.357   ,0.035       ,13.690   ,0.048       ,13.434   ,0.045       ,0.0472     
J224833.09+130702.2,342.1379005,13.1172849 ,82.4901175 ,-39.9142409,13.703,0.027    ,13.456,0.032    ,11.958,0.280    ,8.593 ,null     ,14.751   ,0.034       ,14.216   ,0.038       ,13.930   ,0.044       ,0.0517     
J233245.10+465847.3,353.1879307,46.9798111 ,109.2527895,-13.7912563,14.090,0.029    ,14.052,0.043    ,12.144,0.325    ,9.105 ,null     ,15.067   ,0.045       ,14.352   ,0.043       ,14.151   ,0.055       ,0.1500     
J233358.49+005012.0,353.4937438,0.8366756  ,86.1273419 ,-56.3963056,13.459,0.025    ,12.948,0.027    ,10.888,0.122    ,8.843 ,0.488    ,15.013   ,0.040       ,14.398   ,0.042       ,13.841   ,0.050       ,0.0369     
J233512.73+463814.5,353.8030722,46.6373613 ,109.5588295,-14.2455339,14.896,0.035    ,14.848,0.060    ,12.354,0.354    ,8.564 ,null     ,15.870   ,0.075       ,15.127   ,0.091       ,14.962   ,0.116       ,0.1472     
J235607.35+004456.4,359.0306415,0.7490088  ,95.1868280 ,-59.1102038,13.466,0.025    ,13.484,0.035    ,11.917,0.340    ,8.950 ,null     ,14.353   ,0.032       ,13.716   ,0.028       ,13.549   ,0.035       ,0.0346     
                                                                                                                                                                                                                
                                                                                                                                                                                                                
