designation        ,ra         ,dec        ,glon       ,glat       ,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,E_B_V_SFD
J023025.52-005859.5,37.6063365 ,-0.9832171 ,169.3177605,-54.6826250,14.997,0.033    ,14.827,0.061    ,12.223,0.326    ,9.200 ,null     ,16.022   ,0.068       ,15.495   ,0.080       ,15.392   ,0.180       ,0.0316     
J024408.38+002604.0,41.0349523 ,0.4344490  ,172.0533845,-51.3567411,15.072,0.033    ,14.917,0.076    ,12.138,0.363    ,9.039 ,null     ,16.218   ,0.089       ,15.550   ,0.105       ,15.135   ,0.124       ,0.0339     
J024515.58+010246.0,41.3149498 ,1.0461353  ,171.7303356,-50.7154288,14.779,0.030    ,14.639,0.065    ,12.240,0.363    ,8.476 ,null     ,15.733   ,0.064       ,14.977   ,0.075       ,14.975   ,0.123       ,0.0379     
J025336.79-063921.9,43.4033320 ,-6.6561093 ,183.3186335,-54.5063753,14.630,0.029    ,14.366,0.047    ,11.978,0.283    ,8.867 ,0.383    ,15.849   ,0.070       ,15.388   ,0.085       ,14.890   ,0.120       ,0.0526     
J030137.50+000319.7,45.4062653 ,0.0554735  ,177.3268642,-48.5709273,15.171,0.035    ,14.980,0.067    ,12.178,0.354    ,8.648 ,null     ,16.158   ,0.091       ,15.443   ,0.141       ,15.127   ,0.177       ,0.1067     
J030538.23-004402.7,46.4092989 ,-0.7340956 ,179.2293760,-48.3744425,15.116,0.034    ,14.866,0.065    ,12.063,0.349    ,8.724 ,null     ,16.105   ,0.097       ,15.583   ,0.123       ,15.188   ,0.146       ,0.0809     
J031342.77+002641.0,48.4282462 ,0.4447260  ,179.9273792,-46.0851005,13.165,0.024    ,13.101,0.027    ,11.899,0.300    ,8.862 ,null     ,14.106   ,0.029       ,13.478   ,0.029       ,13.267   ,0.029       ,0.0827     
J031517.79+001049.7,48.8241406 ,0.1804868  ,180.5901396,-45.9635382,13.408,0.025    ,13.281,0.028    ,11.690,0.235    ,8.477 ,null     ,14.531   ,0.034       ,13.867   ,0.036       ,13.676   ,0.038       ,0.1016     
J031933.64-001213.0,49.8901815 ,-0.2036227 ,182.0025770,-45.4064049,14.011,0.026    ,13.877,0.037    ,11.946,0.292    ,8.993 ,null     ,14.959   ,0.043       ,14.288   ,0.047       ,14.152   ,0.066       ,0.0736     
J032338.69-010837.2,50.9112286 ,-1.1436749 ,183.9577276,-45.2175182,14.162,0.027    ,14.040,0.038    ,12.172,0.354    ,9.063 ,null     ,15.147   ,0.048       ,14.556   ,0.051       ,14.232   ,0.064       ,0.0856     
