#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#designation, ZooniverseID, SciTeamFollowUp, SciTeamComment, goodFraction, classifiers, good, multi, oval, empty, extended, shift, state, twentyBad, twentyGood, twentyShift, majBad, majGood, majShift, pluralBad, pluralGood, pluralShift, avgBad, avgGood, avgShift, RA, Dec, glon, glat, w1mpro, w1sigmpro, w2mpro, w2sigmpro, w3mpro, w3sigmpro, w4mpro, w4sigmpro, j_m_2mass, j_msig_2mass, h_m_2mass, h_msig_2mass, k_m_2mass, k_msig_2mass, j_h, h_k, A_Vmag, A_B_V, A_Bmag, A_gMag, A_rMag, A_iMag, A_Verr, A_B_Verr, A_Berr, A_gErr, A_rErr, A_iErr, A_objid, A_dstArcSec, A_contamination, G_source_id, G_parallax, G_parallax_error, G_parallax_over_error, G_pmra, G_pmra_error, G_pmdec, G_pmdec_error, G_astrometric_n_good_obs_al, G_astrometric_chi2_al, G_visibility_periods_used, G_phot_g_mean_flux_over_error, G_phot_g_mean_mag, G_phot_bp_mean_flux_over_error, G_phot_bp_mean_mag, G_phot_rp_mean_flux_over_error, G_phot_rp_mean_mag, G_phot_bp_rp_excess_factor, G_radial_velocity, G_radial_velocity_error, G_objid, G_dstArcSec, G_contamination, P_objid, P_gMeanPSFMag, P_gMeanPSFMagErr, P_iMeanPSFMag, P_iMeanPSFMagErr, P_rMeanPSFMag, P_rMeanPSFMagErr, P_yMeanPSFMag, P_yMeanPSFMagErr, P_zMeanPSFMag, P_zMeanPSFMagErr, P_nDetections, P_dstArcSec, P_contamination, T_id, T_pmRA, T_e_pmRA, T_pmDEC, T_e_pmDEC, T_PMflag, T_plx, T_e_plx, T_PARflag, T_dstArcSec, T_contamination, fileNPath, objid, ZooniverseURL
#@string, string, string, string, float, int, int, int, int, int, int, int, string, float, float, float, float, float, float, float, float, float, float, float, float, ra, dec, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, int, string, float, float, float, float, float, float, float, int, float, int, float, float, float, float, float, float, float, float, float, string, float, int, string, float, float, float, float, float, float, float, float, float, float, int, float, int, string, float, float, float, float, string, float, float, string, float, int, string, int, string
designation,ZooniverseID,SciTeamFollowUp,SciTeamComment,goodFraction,classifiers,good,multi,oval,empty,extended,shift,state,twentyBad,twentyGood,twentyShift,majBad,majGood,majShift,pluralBad,pluralGood,pluralShift,avgBad,avgGood,avgShift,ra,dec,glon,glat,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,j_h,h_k,A_Vmag,A_B_V,A_Bmag,A_gMag,A_rMag,A_iMag,A_Verr,A_B_Verr,A_Berr,A_gErr,A_rErr,A_iErr,A_objid,A_dstArcSec,A_contamination,G_source_id,G_parallax,G_parallax_error,G_parallax_over_error,G_pmra,G_pmra_error,G_pmdec,G_pmdec_error,G_astrometric_n_good_obs_al,G_astrometric_chi2_al,G_visibility_periods_used,G_phot_g_mean_flux_over_error,G_phot_g_mean_mag,G_phot_bp_mean_flux_over_error,G_phot_bp_mean_mag,G_phot_rp_mean_flux_over_error,G_phot_rp_mean_mag,G_phot_bp_rp_excess_factor,G_radial_velocity,G_radial_velocity_error,G_objid,G_dstArcSec,G_contamination,P_objid,P_gMeanPSFMag,P_gMeanPSFMagErr,P_iMeanPSFMag,P_iMeanPSFMagErr,P_rMeanPSFMag,P_rMeanPSFMagErr,P_yMeanPSFMag,P_yMeanPSFMagErr,P_zMeanPSFMag,P_zMeanPSFMagErr,P_nDetections,P_dstArcSec,P_contamination,T_id,T_pmRA,T_e_pmRA,T_pmDEC,T_e_pmDEC,T_PMflag,T_plx,T_e_plx,T_PARflag,T_dstArcSec,T_contamination,fileNPath,objid,ZooniverseURL
J042316.83+112240.3,AWI0005zgr,YYES / YYES,"other comments:
GAIA RA/DE, Plx, pmRA/pmDE updated.  Binary, sep. = 1.1 arcsec (Mason+, 2001-2014).  
followup justification:
Possible debris disk, needs better spectral type; HPM star
flags:
4.1, 6.2, 8.1, 8.2",0.888888888888889,9,8,0,1,0,0,0,inactive,0.0529,99.0615,0.8856,3.3549,96.6213,0.0237,2.0195,97.9598,0.0207,1.8091,97.88087,0.31,65.8201458,11.3778648,183.315157,-25.8237055,6.125,0.109,6.026,0.035,6.007,0.016,4.88,0.031,6.203,0.019,6.107,0.026,6.103,0.018,0.0960000000000001,0.00400000000000045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,3306851898518217600,11.4640235821688,0.14560846505837,78.73185,21.8987847015992,0.230551781842627,-33.57461599084,0.172022411045173,203,3270.182,11,537.3857,6.886269,56.28248,6.852621,36.838,6.628591,1.296377,NaN,NaN,3306851898518217600,0.580559898820305,1,121650658201363915,6.946,-999,6.934,-999,6.907,-999,6.967,-999,6.928,-999,6,0.564690582681377,76,372897604,22.4451,0.0518702,-32.9291,0.0425841,tgas,11.2105,0.50192,tgas,0.564690582681377,0,WZ_advanced_seds_S30_25/373256.png,373256,https://talk.diskdetective.org/#/subjects/AWI0005zgr
J202222.87+730903.7,AWI0005byy,YYES / YYES,"other comments:
Studied by Kennedy & Wyatt, 2013; SED suggests debris disk.  In ""Catalog of Earth-like Exoplanet Survey Targets"" (Chandler+, 2016).
followup justification:
Possible debris disk
flags:
8.1,8.2,4.1",NaN,0,0,0,0,0,0,0,inactive,0.0027,99.2473,0.75,3.8594,96.1052,0.0354,3.4437,96.5119,0.0444,2.435267,97.28813,0.2766,305.5953164,73.1510496,106.438495,19.676724,7.341,0.035,7.418,0.02,7.279,0.016,6.182,0.04,7.589,0.027,7.54,0.04,7.457,0.021,0.0490000000000004,0.0830000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,2276100021388310400,7.84546210751164,0.0280813243892591,279.3836,14.5167406570203,0.0505943466171437,15.9079918447552,0.0532663650619747,230,682.1683,17,1961.814,8.128128,279.8387,8.308497,486.409,7.871466,1.160575,NaN,NaN,2276100021388310400,0.0618055890438487,0,195783055945442455,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1.26121867250397,61,366642080,14.6123,0.0576106,15.7891,0.0489652,tgas,7.7244,0.229253,tgas,0.29182276846653,0,WZ_advanced_seds_N15_20/265747.png,265747,https://talk.diskdetective.org/#/subjects/AWI0005byy
J054623.48+253237.5,AWI0003cut,,,1,3,3,0,0,0,0,0,inactive,0.0916,98.8249,1.0835,2.1653,97.8044,0.0303,2.2569,97.6792,0.0639,1.5046,98.10284,0.3925667,86.5978538,25.5437716,182.9869832,-1.6180482,7.378,0.035,7.098,0.02,6.317,0.017,5.423,0.038,8.175,0.018,8.038,0.02,7.842,0.024,0.137,0.196000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,3429219919126378112,0.800178041746229,0.0477778911664039,16.74787,0.0273691832095864,0.0819144512774215,-4.22117707983837,0.065292280279379,152,219.3057,11,333.6535,8.793777,106.0613,8.956329,205.7117,8.465327,1.207734,NaN,NaN,3429219919126378112,0.0568506995294604,0,138650865978543060,8.975,-999,8.906,-999,8.904,-999,8.909,-999,8.883,-999,19,0.0541064865290699,56,76297288,-0.00181288,0.67119,-4.32898,0.669544,tgas,0.623244,0.356885,tgas,0.163323535329574,0,,150584,https://talk.diskdetective.org/#/subjects/AWI0003cut
J053750.94+335801.9,AWI0000zse,,,NaN,0,0,0,0,0,0,0,inactive,0.7487,98.4762,0.7751,2.7957,97.184,0.0202,2.1155,97.8681,0.0163,1.886633,97.84277,0.2705333,84.4622731,33.9672085,174.8526207,1.2500489,7.244,0.036,6.956,0.02,6.128,0.015,5.201,0.038,8.101,0.024,7.942,0.02,7.752,0.016,0.159000000000001,0.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,3449328509329750272,0.803395869895636,0.0567032305667555,14.16843,-0.108180024058815,0.0955141270002391,-3.71051403474025,0.0769805850740529,159,360.2743,11,654.9824,8.230351,170.8715,8.337719,194.7761,8.036404,1.173475,NaN,NaN,3449328509329750272,0.0314468214521746,3,148760844621711087,9.612,-999,9.152,-999,9.303,-999,8.958,-999,9.02,-999,5,0.0337074193963282,99,115893722,-0.30345,0.437745,-3.46161,0.46209,tgas,0.870877,0.39392,tgas,0.128545609434158,0,,32022,https://talk.diskdetective.org/#/subjects/AWI0000zse
J034841.88+254802.6,AWI0005ym6,yes / yes / NNO,"other comments:
Debris disk candidates detected with AKARI/FIS (Liu+, 2014).  Class III / more evolved YSO candidate (Marton+, 2016).  Vamp ~ 3.0 based on LC from CSDR2.
followup justification:
Possible YSO or debris disk, needs better spectral type. RULE CHANGE: KNOWN DISK    
flags:
4.1, 4.2, 7.1, 8.2",NaN,0,0,0,0,0,0,0,inactive,16.5218,82.3,1.1782,3.7981,96.1169,0.085,4.1912,95.3685,0.4403,8.170366,91.2618,0.5678333,57.1745392,25.8007324,165.6529949,-22.0150445,8.018,0.023,8,0.021,7.563,0.017,5.5,0.037,8.072,0.021,8.081,0.018,8.002,0.018,-0.00900000000000034,0.0789999999999988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,69987664615146496,3.20955348892426,0.102916221538313,31.18608,-0.638030888925393,0.159955114194092,-5.78848735330515,0.115529501061235,212,1008.372,10,1937.749,8.399778,1330.966,8.480827,860.1746,8.282901,1.15487,NaN,NaN,69987664615146496,0.055725513370703,1,138960571745601701,8.444,-999,8.656,-999,8.538,-999,8.777,-999,8.744,-999,9,0.0528331823224868,71,35157033,-0.753242,0.0865295,-5.48643,0.0690038,tgas,3.58417,0.393704,tgas,0.153506735102873,0,WZ_advanced_seds_S25_20/379758.png,379758,https://talk.diskdetective.org/#/subjects/AWI0005ym6
J022012.80+642013.1,AWI0001qp3,,,NaN,0,0,0,0,0,0,0,inactive,0.0958,98.5588,1.3454,6.2264,93.7276,0.046,2.6329,97.347,0.0202,2.985033,96.54446,0.4705333,35.0533729,64.3369937,132.3612977,3.1028482,6.641,0.073,6.602,0.023,6.628,0.016,6.073,0.047,6.554,0.026,6.61,0.055,6.593,0.016,-0.0560000000000001,0.0170000000000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,515160406379886976,7.15367711646677,0.0635275862236981,112.6074,-17.4296191838,0.0626118568151132,5.65874377326799,0.0930532577496409,336,2015.906,16,3056.95,6.564312,614.8167,6.574516,560.257,6.591898,1.141643,NaN,NaN,515160406379886976,0.0792756434338576,6,185200350531255001,6.342,-999,6.872,-999,6.625,-999,7.137,-999,7.046,-999,12,0.0705491894508459,78,423461158,-21.0594,0.0205394,8.23233,0.0264316,tgas,8.45348,0.543545,tgas,0.218002293953252,0,,39323,https://talk.diskdetective.org/#/subjects/AWI0001qp3
J021030.93+640531.1,AWI00019ui,,,NaN,0,0,0,0,0,0,0,inactive,0.3273,96.2775,3.3952,7.5364,92.297,0.1666,3.243,96.687,0.0701,3.702233,95.08717,1.210633,32.6289069,64.0919998,131.4388644,2.5342226,7.527,0.031,7.278,0.022,6.663,0.017,6.173,0.049,8.417,0.029,8.159,0.027,7.942,0.023,0.257999999999999,0.217000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,515011937951440000,0.226085976854636,0.0306610475797303,7.37372,-0.64046113457655,0.0333167048814584,0.130894252274491,0.0485048925362437,370,547.686,18,1010.384,9.444287,298.6415,9.811276,430.4833,8.920701,1.212905,NaN,NaN,515011937951440000,0.0566048277238466,4,184910326288151173,10.444,-999,9.687,-999,9.958,-999,9.354,-999,9.461,-999,39,0.0291184029933389,52,12112858,-0.793587,0.0900471,0.151183,0.119417,tgas,0.293353,0.227273,tgas,0.0291184029933389,0,,41610,https://talk.diskdetective.org/#/subjects/AWI00019ui
J191443.44+651622.2,AWI0005cs4,YYES / YYES,"other comments:
Radius = 2.536 Rsun, TeffK = 9175 (McDonald+, 2017).  Area not covered by CSS data.
followup justification:
Possible debris disk
flags:
4.1, 8.1, 8.2",NaN,0,0,0,0,0,0,0,inactive,0.8057,96.9827,2.2116,20.8635,78.8443,0.2922,6.1403,93.7128,0.1469,9.269834,89.8466,0.8835667,288.681027,65.2728469,96.2410323,22.1118357,7.373,0.033,7.457,0.02,7.386,0.016,6.801,0.055,7.427,0.021,7.474,0.017,7.449,0.02,-0.0470000000000006,0.0250000000000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,2254485134616928128,4.77828305432109,0.0301467660314623,158.5007,3.36814796329248,0.0675719601953409,8.36023552378493,0.0690346688774641,210,860.2543,16,4331.355,7.453151,1438.116,7.477031,869.7971,7.456412,1.141962,NaN,NaN,2254485134616928128,0.0330027811778465,2,186322886808358126,7.256,-999,7.769,-999,7.532,-999,8.027,-999,7.945,-999,28,0.0724113558383785,74,229954300,3.42611,0.0388593,8.47919,0.0443501,tgas,4.677,0.260445,tgas,0.0724113558383785,0,WZ_advanced_seds_N20_25/278507.png,278507,https://talk.diskdetective.org/#/subjects/AWI0005cs4
J153514.06+651640.2,AWI0005dr4,YYES / YYES,"other comments:
SED classi for early type star. Young runaway star, Tetzlaff+, (2011) . 2.0 sol masses; age 25.1 Myr (ibid); Luminosity class V (Gontcharov+, 2012) vs IV (Pickles+,2010) . Algol system TW Draconis. 
followup justification:
Need better spectral type
flags:
4.1, 7.2, 8.1, 8.2",NaN,0,0,0,0,0,0,0,inactive,9.8927,89.0412,1.0661,6.6213,93.3279,0.0508,2.855,97.0946,0.0504,6.456333,93.15456,0.3891,233.8085865,65.2778479,100.5129828,44.0526565,7.083,0.03,7.2,0.02,7.211,0.016,6.767,0.055,7.229,0.02,7.262,0.026,7.229,0.016,-0.0329999999999995,0.0329999999999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1641408480442167552,7.98540467465083,0.0515565323688649,154.8864,-4.1330974412683,0.069754793210727,31.3494555234714,0.0713323328766792,210,997.2284,16,3883.147,7.432023,770.3285,7.499409,687.8636,7.36328,1.142912,NaN,NaN,1641408480442167552,0.14762447443983,0,186332338085864162,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0.130800261817061,47,198314134,-4.13604,0.0329686,31.3489,0.0350129,tgas,7.8278,0.287342,tgas,0.421409769827783,0,WZ_advanced_seds_N40_50/281583.png,281583,https://talk.diskdetective.org/#/subjects/AWI0005dr4
J005328.08+603956.1,AWI0003lt8,,,NaN,0,0,0,0,0,0,0,inactive,0.9412,96.0218,3.037,9.9444,89.8992,0.1564,3.7882,96.0136,0.1982,4.891267,93.9782,1.130533,13.3670274,60.6656013,123.180752,-2.205088,7.441,0.031,7.495,0.02,7.473,0.017,6.879,0.071,7.519,0.019,7.545,0.024,7.491,0.017,-0.0259999999999998,0.0540000000000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,427283142119805312,3.71151723829194,0.0436104160515192,85.10621,27.4823346360181,0.0504006975939219,-7.66511593648899,0.058605230872469,358,1187.521,18,3319.785,7.752839,909.0667,7.817332,796.4406,7.671281,1.15014,NaN,NaN,427283142119805312,0.216376947152447,1,180790133667579420,7.625,-999,7.977,-999,7.802,-999,8.156,-999,8.1,-999,3,0.202080261219053,68,283136004,27.7819,0.0323511,-8.27707,0.0360691,tgas,3.37302,0.355027,tgas,0.0768271552863538,0,,170173,https://talk.diskdetective.org/#/subjects/AWI0003lt8
J180842.96+390351.8,AWI0005cpq,YES / YYES,"other comments:
Classic SED for early type star. No multiples or contamination; very slight extension in one place on circle I think is tolerable. Otherwise, all ""extension"" is very thin, even blue. IRSA finder (-) VSX (-), CSDR2: in range, no object. Much controversy ov
followup justification:
Early star with probable new debris disk. Also needs spectral typing.
flags:
4.1, 8.1, 8.2",NaN,5,4,0,1,0,0,0,active,10.7254,85.6606,3.614,14.5145,85.3405,0.145,3.9572,96.0063,0.0366,9.732367,89.00246,1.2652,272.1790098,39.0644077,65.9191835,24.5462374,7.977,0.025,7.999,0.02,7.844,0.019,6.673,0.062,8.048,0.019,8.046,0.024,7.977,0.026,0.00200000000000067,0.0689999999999991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4610257928920043008,6.25506045341526,0.037783862718562,165.5485,-3.18175159458327,0.0690556496202387,-1.87288497621048,0.0631997793896389,208,707.9827,17,2072.785,8.364344,723.0884,8.459999,476.044,8.234292,1.151569,NaN,NaN,4610257928920043008,0.052992857269684,1,154872721789497939,8.3,-999,8.567,-999,8.428,-999,8.711,-999,8.663,-999,12,0.051184535580946,69,75941406,-2.99247,0.0404992,-1.90076,0.0438314,tgas,6.21885,0.288184,tgas,0.132961739677166,0,WZ_advanced_seds_N20_25/284196.png,284196,https://talk.diskdetective.org/#/subjects/AWI0005cpq
J073732.43+603219.1,AWI0005cur,YYES / YYES,"other comments:
Plx and PM from Gaia (HIP Plx = 7.16 +/- 0.48)
followup justification:
Possible debris disk
flags:
4.1, 8.1, 8.2",NaN,10,7,0,3,0,0,0,active,0.9179,97.3247,1.7575,5.0854,94.8647,0.0499,2.2035,97.7702,0.0263,2.7356,96.6532,0.6112334,114.3851352,60.5386395,156.3599716,28.9785341,6.911,0.062,6.901,0.02,6.893,0.017,6.451,0.061,6.871,0.018,6.939,0.018,6.896,0.026,-0.0679999999999996,0.0430000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1086264166224975872,7.54103030497753,0.0626227145185059,120.4201,-2.85838328558095,0.0921080641574978,4.03988330816196,0.0725518616634565,199,1055.765,12,2991.226,6.981571,444.883,7.020726,502.5035,6.97028,1.137673,NaN,NaN,1086264166224975872,0.0545927854347528,0,180641143853897071,6.585,-999,7.152,-999,6.894,-999,7.448,-999,7.341,-999,13,0.0568350256187273,67,85242184,-2.92483,0.0260509,4.21763,0.024336,tgas,8.25576,0.388716,tgas,0.100829927339832,0,WZ_advanced_seds_N25_30/297574.png,297574,https://talk.diskdetective.org/#/subjects/AWI0005cur
J210204.09+590516.0,AWI0005meh,YYES / YYES,"other comments:
Tier 3 F8/K7 V object with IRxs, never investigated. SED looks like an early K star. Known star in Trumpler cluster 37 1098
followup justification:
new early type YSOc star in cluster with Diskc
flags:
8.1, 8.2",NaN,0,0,0,0,0,0,0,inactive,3.5461,95.5968,0.8571,4.8966,95.0746,0.0289,2.6543,97.3068,0.0389,3.699,95.99274,0.3083,315.5170473,59.0877983,97.0131002,8.3082112,6.663,0.072,6.674,0.022,6.568,0.016,6.067,0.044,7.433,0.035,6.897,0.046,6.764,0.018,0.536,0.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,2190677897881528832,2.16801590226765,0.0299425141367437,72.40594,-0.444202747633285,0.0595767582770936,-10.1181386187184,0.0519259098334022,175,201.557,15,5718.787,9.325159,1443.033,10.05638,925.8649,8.523535,1.265269,-5.31041051967652,0.26723812657432,2190677897881528832,0.0719179948339996,4,178903155170045924,10.137,-999,8.902,-999,9.295,-999,8.541,-999,8.663,-999,10,0.0976656398614081,61,375191059,-1.38548,1.23837,-10.0474,1.50258,tgas,3.12211,0.569214,tgas,0.0976656398614081,0,,308055,https://talk.diskdetective.org/#/subjects/AWI0005meh
J233532.95+414139.9,AWI0005yhw,,,NaN,0,0,0,0,0,0,0,inactive,0.6858,98.2303,1.0839,5.1178,94.836,0.0462,2.8515,97.1076,0.0409,2.885033,96.72463,0.3903333,353.8873069,41.6944267,108.0570245,-18.9748773,7.68,0.029,7.766,0.02,6.975,0.016,6.198,0.054,8.987,0.023,8.05,0.036,7.708,0.021,0.936999999999999,0.342000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1923794157722847616,0.204544017096284,0.0539311125337123,3.792691,-1.26350499515277,0.0844597513309288,-3.00651598002839,0.0640802111344683,322,2174.026,16,156.6246,12.25917,27.52103,14.02712,62.39901,10.96828,1.54277,-79.5142373890482,0.407918181350168,1923794157722847616,0.0375563402667754,1,158033538873833979,14.7222,0.008942,11.581,-999,12.545,-999,10.555,-999,10.902,-999,65,0.0966671609303832,35,333421099,-4.4,3.1,-2,3.4,ucac4,NaN,NaN,,0.165487627534953,0,WZ_advanced_seds_S20_15/316909.png,316909,https://talk.diskdetective.org/#/subjects/AWI0005yhw
J185720.46-125354.3,AWI0005uit,,,NaN,0,0,0,0,0,0,0,inactive,19.8573,77.5543,2.5884,18.0224,81.7299,0.2477,12.6858,87.0867,0.2275,16.85517,82.12363,1.0212,284.3352537,-12.8984327,22.0562103,-7.1303721,6.792,0.055,6.938,0.02,6.521,0.016,6.169,0.066,8.47,0.018,7.446,0.057,7.056,0.029,1.024,0.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4102651377919847936,0.298951687329148,0.097190632148685,3.075931,-8.86566911311128,0.156846055296768,-6.94939509669014,0.136542061015622,121,726.7189,11,179.635,11.9749,31.40536,14.00973,65.05526,10.65729,1.546251,-1.0113638381778,1.88055526253451,4102651377919847936,0.0599128177293391,25,92522843352612210,14.2887,0.044977,11.314,-999,12.512,-999,10.102,-999,10.52,-999,68,0.0615310960889892,50,309951974,-11.1,3,-11.6,3,ucac4,NaN,NaN,,0.229276861524347,1,,317250,https://talk.diskdetective.org/#/subjects/AWI0005uit
J202444.21+312130.9,AWI0004dxr,,,NaN,0,0,0,0,0,0,0,inactive,5.6439,92.8445,1.5117,17.6625,82.2615,0.076,22.5022,77.4248,0.073,15.26953,84.17693,0.5535667,306.1842299,31.3585861,71.1434437,-3.6475171,7.258,0.036,7.411,0.021,7.085,0.02,6.167,0.044,9.021,0.026,7.891,0.018,7.484,0.026,1.13,0.407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1862000783925745920,0.427720565960564,0.0902833829972821,4.737534,-2.04828772535368,0.14197834679935,-3.66832890515789,0.147769807592383,324,6986.304,17,493.967,12.99134,100.2159,15.48372,219.6482,11.5773,1.640721,-68.8601771181102,0.487981606911117,1862000783925745920,0.0577809217769478,6,145633061841560825,16.2167,0.004694,12.185,-999,13.449,-999,10.817,-999,11.27,-999,69,0.0468063225002651,30,198990029,8.4,14.9,5,14.1,ucac4,NaN,NaN,,0.0591870005658743,0,,213899,https://talk.diskdetective.org/#/subjects/AWI0004dxr
J185207.35+390532.0,AWI0005buz,,,NaN,0,0,0,0,0,0,0,inactive,29.3763,68.1082,2.5155,44.7812,54.7135,0.5053,15.8418,83.7493,0.4089,29.99977,68.857,1.143233,283.0306416,39.0922311,68.852904,16.5868208,7.842,0.027,7.866,0.02,7.394,0.017,6.972,0.067,9.157,0.023,8.265,0.036,8.003,0.023,0.891999999999999,0.262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,2097446115070364672,0.141260861425558,0.0418131068340115,3.378387,-2.16811931114767,0.0803652297618865,-3.23243246789876,0.0764799626993045,243,1522.894,16,192.759,12.26791,39.17657,13.91225,78.95608,11.03299,1.489833,-170.369192596945,0.445063735880028,2097446115070364672,0.0647180694440929,4,154912830304961270,14.1739,0.017066,11.701,-999,12.887,-999,10.618,-999,10.998,-999,76,0.0635132843759307,49,258268840,-3.9,3.5,1.5,3.9,ucac4,NaN,NaN,,0.115710483363118,0,WZ_advanced_seds_N15_20/218902.png,218902,https://talk.diskdetective.org/#/subjects/AWI0005buz
J201712.79+275149.3,AWI0004my0,,,NaN,0,0,0,0,0,0,0,inactive,48.7208,50.1003,1.1789,57.1646,42.7387,0.0967,51.4589,48.4314,0.1098,52.4481,47.09013,0.4618,304.3032993,27.8636998,67.327238,-4.274359,6.563,0.04,6.618,0.02,6.438,0.014,6.228,0.04,8.299,0.02,7.163,0.029,6.748,0.02,1.136,0.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1836950503113451904,0.381280413741624,0.0646666497480177,5.896091,-3.55434871336383,0.100173422398663,-3.56643303981,0.098033355590897,323,2720.123,17,656.2523,12.29489,91.98117,14.71497,206.5743,10.89568,1.62455,-16.529042936454,0.543223369824514,1836950503113451904,0.035022497561285,10,141433043033357021,15.6836,0.013007,11.418,-999,12.659,-999,10.081,-999,10.534,-999,63,0.099398076617313,28,88267791,-0.2,4.4,0.1,4.4,ucac4,NaN,NaN,,0.0844920077621224,0,,220477,https://talk.diskdetective.org/#/subjects/AWI0004my0
J191010.44+252101.9,AWI0005lrl,,,NaN,0,0,0,0,0,0,0,inactive,28.9432,69.5236,1.5332,54.7613,45.0864,0.1523,42.8704,57.0535,0.0762,42.19164,57.22117,0.5872333,287.543508,25.3505332,57.654627,7.4438555,7.259,0.043,7.312,0.02,6.725,0.017,6.232,0.048,8.723,0.021,7.73,0.042,7.381,0.027,0.993,0.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,2035768907244387456,0.163845811177714,0.0466253298459789,3.514094,-0.745967488105345,0.0619852942526905,-3.35013288512198,0.0732319252914557,359,1986.492,17,309.1954,12.1314,65.59483,14.02532,131.1602,10.84078,1.526655,21.1337466551246,0.584506078172105,2035768907244387456,0.00827009933225483,7,138422875435181223,14.6278,0.007398,11.689,-999,13.095,-999,10.352,-999,10.812,-999,69,0.0052512485718071,42,407171799,0.8,5.5,-1.3,5.2,ucac4,NaN,NaN,,0.0798079846714777,0,,331524,https://talk.diskdetective.org/#/subjects/AWI0005lrl
J185607.93+593745.2,AWI0005crk,,,NaN,0,0,0,0,0,0,0,inactive,0.8824,98.4079,0.7097,3.1094,96.845,0.0456,2.6971,97.2463,0.0565,2.229633,97.49973,0.2706,284.033049,59.6292396,89.7357147,22.5938025,6.641,0.074,6.607,0.023,6.191,0.015,5.806,0.032,7.905,0.02,6.982,0.038,6.724,0.017,0.923,0.258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,2155475761801377152,0.306402949454189,0.0404410645876758,7.57653,-6.22075856034065,0.0858248906187746,-8.1646082957253,0.101609152249191,164,948.7841,15,184.9776,10.88037,31.39742,12.42825,78.5817,9.697027,1.443164,-159.241814759255,0.477296188837293,2155475761801377152,0.0820869963878007,0,179552840331655846,12.545,-999,10.156,-999,10.963,-999,9.336,-999,9.633,-999,67,0.0843372558934495,52,376976437,-4,1.3,-3.2,1.7,ucac4,NaN,NaN,,0.103113451805197,0,WZ_advanced_seds_N20_25/226026.png,226026,https://talk.diskdetective.org/#/subjects/AWI0005crk
