Name, RA, DEC
AWI00000lj,16:27:54.20,+06:14:41.3
AWI00000om,17:31:29.67,+60:11:56.1
AWI00000to,17:38:32.90,+42:51:12.9
AWI000011b,16:26:38.61,+14:11:06.3
AWI00001l8,17:32:54.69,+40:43:12.3
AWI000028h,16:55:56.61,+24:15:54.0
AWI00002yt,17:20:07.53,+35:41:03.6
AWI000034n,16:40:21.30,+07:50:04.8
AWI000047d,16:48:37.40,+35:12:09.3
AWI00004c1,16:12:41.51,+05:41:40.8
AWI00004o8,16:52:04.85,+14:58:27.2
AWI000054k,17:23:38.13,+45:59:57.3
AWI00005ko,16:59:20.60,+13:12:19.3
AWI0000gjb,22:42:06.62,-03:28:24.4
AWI0000hog,22:44:14.01,-09:01:23.9
AWI0000jvv,00:35:07.14,+07:06:25.0
AWI0000kk6,22:06:01.14,-02:03:43.2
AWI0000ns8,21:57:39.35,-08:33:51.4
AWI0000nxi,01:41:13.00,+16:30:51.7
AWI0000phh,02:56:14.05,+04:02:54.2
AWI0000phs,21:52:21.25,-03:10:28.9
AWI0000qxd,15:25:27.16,+28:49:14.6
AWI0000s7e,10:36:39.10,+44:14:25.8
AWI0000t35,15:34:56.23,+33:51:45.2
AWI0000tjx,15:47:09.73,+30:33:56.0
AWI0000tpu,15:37:16.27,+33:18:34.4
AWI0000tsh,15:50:09.26,+40:38:23.5
AWI0000tz1,15:40:30.20,+37:01:01.1
AWI0000uj2,15:30:46.05,+34:27:56.4
AWI0000uji,15:11:47.67,+10:12:59.8
AWI0000us7,14:24:09.74,+58:18:26.3
AWI0000v1z,15:29:54.11,+23:49:01.6
AWI0000vag,14:58:20.26,+15:02:29.3
AWI0000w9x,14:43:13.04,+01:49:28.7
AWI0000wqx,13:22:17.71,+62:33:37.9
AWI0000xbv,02:59:26.83,+59:35:31.6
AWI0000xcq,03:34:21.19,+56:43:43.6
AWI0000y1k,11:17:14.49,-59:46:10.8
AWI0000zqw,03:28:47.84,+57:55:56.1
AWI00017os,19:09:01.24,+11:06:41.3
AWI00019fp,21:29:52.96,+52:56:01.9
AWI00019pi,23:51:35.40,+63:13:23.1
AWI0001a1v,06:41:51.08,+10:01:44.6
AWI0001ps3,20:52:07.92,+48:49:56.9
AWI0001q3p,21:45:37.00,+57:02:01.1
AWI0002001,18:27:17.07,-04:18:38.0
AWI00021py,19:23:43.53,+23:08:56.7
AWI00022vs,21:01:44.07,+52:17:17.6
AWI00022y0,21:11:39.56,+53:44:46.4
AWI0002360,22:06:14.20,+60:02:04.6
AWI00023d1,22:48:36.29,+62:48:08.6
AWI00025ny,16:24:18.65,-43:15:16.5
AWI0002ao1,18:26:14.45,-01:32:50.8
AWI0002apf,18:27:50.65,-02:24:07.4
AWI0002b3p,18:47:48.57,+08:01:47.3
AWI0002b6k,18:52:11.39,+10:24:22.6
AWI0002b9u,18:57:05.90,+13:23:53.4
AWI0002coc,21:35:19.16,+57:36:38.1
AWI0002cu6,22:29:06.46,+63:10:45.9
AWI0002d1k,23:57:34.08,+66:25:53.7
AWI0002d6a,03:35:49.39,+64:13:24.7
AWI0002dmo,11:35:05.30,-55:48:40.3
AWI0002dny,11:44:01.39,-55:23:27.0
AWI0002fbf,16:03:32.89,-45:40:59.8
AWI0002lxd,18:20:16.88,-03:12:07.4
AWI0002lxl,18:20:32.53,-02:20:49.6
AWI0002m6v,18:29:55.33,+00:49:39.0
AWI0002m9o,18:33:11.41,+02:54:39.0
AWI0002mhd,18:43:05.97,+07:16:26.4
AWI0002mxe,19:06:38.88,+20:33:26.9
AWI0002nht,19:58:17.60,+39:22:45.4
AWI0002o5q,20:41:09.10,+52:18:01.3
AWI0002o7p,20:49:09.99,+54:34:31.2
AWI0002o9g,21:08:05.95,+57:02:09.1
AWI0002oe7,21:46:22.33,+62:31:51.8
AWI0002ofm,22:08:48.11,+63:29:41.7
AWI0002opj,22:49:52.84,+65:49:25.9
