Name,RA,DEC,MatchID,MatchRA,MatchDEC,dstArcSec,designation,ZooniverseID,goodFraction,glon,glat,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,j_h,h_k,A_Vmag,A_B_V,A_Bmag,A_gMag,A_rMag,A_iMag,A_Verr,A_B_Verr,A_Berr,A_gErr,A_rErr,A_iErr,A_objid,A_dstArcSec,A_contamination,G_source_id,G_phot_g_mean_mag,G_parallax,G_parallax_error,G_pmra,G_pmra_error,G_pmdec,G_pmdec_error,G_astrometric_n_good_obs_al,G_astrometric_chi2_al,G_visibility_periods_used,G_phot_g_mean_flux_over_error,G_phot_g_mean_mag1,G_phot_bp_mean_flux_over_error,G_phot_bp_mean_mag,G_phot_rp_mean_flux_over_error,G_phot_rp_mean_mag,G_phot_bp_rp_excess_factor,G_radial_velocity,G_radial_velocity_error,G_objid,G_dstArcSec,G_contamination,P_gMeanPSFMag,P_gMeanPSFMagErr,P_iMeanPSFMag,P_iMeanPSFMagErr,P_rMeanPSFMag,P_rMeanPSFMagErr,P_yMeanPSFMag,P_yMeanPSFMagErr,P_zMeanPSFMag,P_zMeanPSFMagErr,P_nDetections,P_dstArcSec,P_contamination,T_id,T_pmRA,T_e_pmRA,T_pmDEC,T_e_pmDEC,T_PMflag,T_plx,T_e_plx,T_PARflag,T_dstArcSec,T_contamination,ZooniverseURL
AWI0003q1o,230.520375,-59.9847777777778,179191,230.5203759,-59.9847783,0.00248217961733028,J152204.89-595905.2,AWI0003q1o,0.533333333333333,320.7447633,-2.4297275,8.017,0.022,7.803,0.018,6.834,0.016,5.91,0.047,9.91,0.021,8.77,0.029,8.312,0.031,1.14,0.458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5875922565638858496,14.2897,0.141924629541548,0.0841524154981178,-4.48530543063072,0.110131871380185,-1.65912555202661,0.155132701437711,346,2710.914,14,194.165,14.2897,29.38349,17.25816,66.60743,12.78636,1.748826,NaN,NaN,5875922565638858496,0.0304481701014212,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456053308,16.1,4.5,14.9,3.7,ucac4,NaN,NaN,,14.6699873345158,0,https://talk.diskdetective.org/#/subjects/AWI0003q1o
AWI00037bl,230.52075,-58.2546666666667,119349,230.5207514,-58.2546673,0.00349718156122,J152204.98-581516.8,AWI00037bl,0.533333333333333,321.6865957,-0.978155,7.634,0.026,7.531,0.02,6.678,0.016,5.628,0.043,10.871,0.022,8.98,0.023,8.155,0.029,1.891,0.825000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5882915871863550208,17.58319,-0.145543861035309,0.275548555650004,-6.19680851645315,0.33672012019543,-2.75146022979513,0.436484247575714,459,2254.245,13,262.3827,17.58319,3.948767,20.97932,73.29581,15.70495,2.434921,NaN,NaN,5882915871863550208,0.149198005976871,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI00037bl
AWI0005yxk,156.364541666667,-84.7466111111111,354832,156.3645502,-84.7466122,0.0048247175663559,J102527.49-844447.8,AWI0005yxk,0.533333333333333,299.5437878,-22.8648133,8.537,0.023,8.255,0.02,7.789,0.017,7.346,0.073,9.731,0.026,9.021,0.027,8.792,0.019,0.709999999999999,0.229000000000001,12.46,1.721,14.181,13.284,11.848,11.188,0.012,0.016,0.011,0.008,0.021,0.041,35193672,0.176287587539022,0,5190922109878846464,12.13526,0.0670450111581392,0.0220540572767298,-5.21602601323643,0.0494116137952021,3.19154028440748,0.0485831966821406,202,499.3504,16,84.35571,12.13526,19.25763,13.19512,37.06797,11.08573,1.396271,330.843766625864,1.3429625922642,5190922109878846464,0.0322704052566974,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,356332128,-8.1,3.3,6.2,1.6,ucac4,NaN,NaN,,0.15205176688531,0,https://talk.diskdetective.org/#/subjects/AWI0005yxk
AWI00011ai,203.227333333333,-61.0651666666667,23302,203.2273364,-61.0651668,0.0053628374317145,J133254.56-610354.6,AWI00011ai,0.533333333333333,307.9285294,1.4036898,7.584,0.024,7.616,0.02,6.754,0.017,5.819,0.043,9.669,0.021,8.382,0.036,7.782,0.024,1.287,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5869035774537991168,15.063,0.344599257158727,0.10464805229186,-6.54347473471172,0.121326189551294,-0.681225451767065,0.16249374602602,407,4722.151,18,352.008,15.063,31.34818,19.1741,84.68533,13.38864,2.008049,NaN,NaN,5869035774537991168,0.0752205330059376,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI00011ai
AWI0006485,237.792416666667,-72.4376666666667,308215,237.7924204,-72.4376678,0.00575264249016065,J155110.18-722615.6,AWI0006485,0.666666666666667,315.6287236,-14.1590477,8.051,0.024,7.717,0.02,7.065,0.017,6.702,0.066,9.285,0.026,8.47,0.04,8.063,0.034,0.815,0.407,13.981,1.624,15.605,99.999,99.999,99.999,0.044,0.261,0.257,9.999,9.999,9.999,34271002,3.18925034472779,1,5794665598262861952,13.35845,0.228943022748042,0.0708342003465712,-3.40183936887198,0.0932664579025546,-2.45176601798242,0.116813407269128,237,2258.981,16,32.07956,13.35845,3.960001,15.74633,11.84325,11.82016,1.838145,NaN,NaN,5794665598262861952,0.0645025590955389,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,426130136,-4.1,8.1,-3.9,3.7,ucac4,NaN,NaN,,0.0847691181497112,1,https://talk.diskdetective.org/#/subjects/AWI0006485
AWI0003thg,264.661583333333,-35.2415555555556,188739,264.6615848,-35.241557,0.00675544815028692,J173838.78-351429.6,AWI0003thg,0.533333333333333,353.8624803,-2.0693353,7.716,0.026,7.721,0.022,7.001,0.019,5.933,0.059,9.797,0.02,8.565,0.029,8.003,0.016,1.232,0.561999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4053276227786366208,14.99,0.233556949792103,0.228646387402227,-6.51653161949553,0.329671997629953,-1.91294169264877,0.259853553367815,116,1709.108,11,111.8569,14.99,11.38564,18.88183,28.62238,13.2979,2.044578,NaN,NaN,4053276227786366208,0.110692393552657,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0003thg
AWI00023l4,10.3900416666667,66.883,83443,10.3900432,66.8830018,0.00683280232625164,J004133.61+665258.8,AWI00023l4,0.8,121.9602444,4.0299747,6.303,0.091,6.262,0.027,5.679,0.015,5.032,0.031,8.214,0.027,7.022,0.038,6.55,0.018,1.192,0.472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,529194774651663616,12.4412,0.521696681793725,0.0830837924691766,-1.23767607643011,0.13830756827871,-1.9830378802372,0.129434723966038,257,3069.032,19,142.6678,12.4412,22.84751,15.59465,48.26044,10.96624,1.697491,NaN,NaN,529194774651663616,0.114590854309314,3,16.3971,0.12649,11.949,-999,14.2527,0.212412,10.154,-999,10.755,-999,72,0.0777310247804345,31,378935851,-3.8,5.8,-7.6,5.7,ucac4,NaN,NaN,,0.230259529878138,0,https://talk.diskdetective.org/#/subjects/AWI00023l4
AWI0002amq,276.164833333333,-2.55575,70082,276.1648344,-2.5557516,0.00692054119681423,J182439.56-023320.7,AWI0002amq,0.533333333333333,27.5890645,4.77932,7.271,0.03,7.189,0.02,6.69,0.018,6.077,0.051,9.356,0.025,8.125,0.044,7.534,0.02,1.231,0.591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4270283161186291584,14.52694,0.116680793594719,0.161081902354788,-2.45973258849344,0.281211800376363,-6.09004156532646,0.254253592612558,151,3322.903,11,209.2157,14.52694,27.30392,18.81888,58.494,12.87554,1.963838,NaN,NaN,4270283161186291584,0.0846824250790352,8,19.8481,0.076265,14.1371,0.018801,17.1633,0.03195,11.51,-999,12.272,-999,72,0.0847369163360235,45,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0002amq
AWI0005kzt,274.828708333333,-0.306111111111111,329376,274.8287091,-0.306113,0.00733875938533808,J181918.89-001822.0,AWI0005kzt,0.533333333333333,28.9769504,7.0017213,8.14,0.023,7.755,0.02,7.158,0.018,6.585,0.067,9.619,0.024,8.541,0.033,8.046,0.024,1.078,0.495000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4274640040422669184,13.51448,0.0590276426874498,0.103656314218419,-3.66249563487164,0.16194440160588,-5.15445272321902,0.15964328951636,178,1846.922,11,46.47963,13.51448,6.66962,15.98063,16.56781,12.11212,1.625753,NaN,NaN,4274640040422669184,0.0812811101018383,4,16.9807,0.100396,13.213,-999,16.0295,-999,11.569,-999,12.079,-999,74,0.112325530705753,27,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0005kzt
AWI0002owg,16.81375,62.7830555555556,102028,16.8137548,62.7830557,0.00792028554467665,J010715.30+624659.0,AWI0002owg,0.785714285714286,124.7393166,-0.0330921,7.224,0.032,7.237,0.02,6.343,0.016,5.379,0.035,9.459,0.022,8.174,0.021,7.565,0.02,1.285,0.608999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,523263360398349056,14.79741,0.415866234847666,0.110752143188373,-0.249568847516353,0.15748891709893,-1.58601672112844,0.169889113902961,339,5134.545,18,163.8512,14.79741,23.07198,18.9889,57.19936,13.11238,2.026537,NaN,NaN,523263360398349056,0.0467969490140679,5,20.0351,0.081688,14.7127,0.021964,17.3026,0.044261,11.656,-999,12.437,-999,57,0.0433386649313417,20,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0002owg
AWI00027tq,262.731458333333,-25.1842777777778,66428,262.7314605,-25.1842789,0.00813295233290386,J173055.55-251103.4,AWI00027tq,0.533333333333333,1.43026,4.7676841,7.116,0.036,6.947,0.021,6.354,0.018,5.763,0.057,9.291,0.03,7.949,0.051,7.324,0.021,1.342,0.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4110184849306106624,14.21617,0.297307824960099,0.159528346199131,1.34573189816482,0.311543681960501,-2.19090969328485,0.233759568914875,129,1998.813,10,102.7127,14.21617,13.57642,18.05776,54.88852,12.54131,2.013656,NaN,NaN,4110184849306106624,0.0558983964313439,19,18.9532,0.006288,13.314,-999,16.6897,0.007198,11.428,-999,12.052,-999,58,0.0133931466814664,61,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI00027tq
AWI0004far,169.244333333333,-65.1490277777778,226729,169.2443384,-65.1490289,0.00866498739458663,J111658.64-650856.5,AWI0004far,0.533333333333333,293.2150961,-4.0746544,6.377,0.078,6.263,0.026,5.702,0.015,4.957,0.027,8.289,0.018,7.107,0.034,6.591,0.02,1.182,0.516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5240116910129516672,12.74866,0.0837506160162708,0.0804044817007174,-5.95997183128494,0.133705884536059,2.40949575080117,0.123333857094761,289,3751.449,19,258.1947,12.74866,43.60495,15.94415,92.89427,11.20607,1.802465,NaN,NaN,5240116910129516672,0.0699435063580455,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,467740203,-14.6,6.3,0.4,6.1,ucac4,NaN,NaN,,0.151409379876349,0,https://talk.diskdetective.org/#/subjects/AWI0004far
AWI0003nl9,172.104166666667,-64.2872777777778,161687,172.1041704,-64.2872798,0.00932736469267459,J112825.00-641714.2,AWI0003nl9,0.6,294.0765575,-2.8522505,7.821,0.025,7.836,0.02,7.169,0.025,6.33,0.048,10.065,0.024,8.761,0.076,8.139,0.034,1.304,0.622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5237590507279865856,15.15238,-0.0240405823073931,0.08946869094245,-6.00933795715341,0.162687252632693,2.39693207150089,0.126642032704574,285,3153.593,18,231.709,15.15238,20.91643,19.22823,78.34808,13.50902,1.952555,NaN,NaN,5237590507279865856,0.134400994281104,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0003nl9
AWI00025yf,250.498083333333,-38.7983333333333,106409,250.4980841,-38.7983362,0.0105417886264309,J164159.54-384754.0,AWI00025yf,0.533333333333333,344.2879049,4.9079265,6.624,0.068,6.295,0.025,5.591,0.015,5.023,0.037,8.855,0.037,7.829,0.029,7.235,0.016,1.026,0.593999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5971017088572201344,13.79457,-0.115002093919032,0.136548835891397,-7.55277494221474,0.239911960491968,-2.77756039631316,0.143251259816784,369,6449.426,12,102.5434,13.79457,20.49733,18.09257,30.37729,12.13496,1.978568,NaN,NaN,5971017088572201344,0.117830451356687,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,458086801,-4.6,3.4,-1.4,3.4,ucac4,NaN,NaN,,0.0852555108591075,1,https://talk.diskdetective.org/#/subjects/AWI00025yf
AWI0004for,196.667166666667,-67.0131944444445,190519,196.6671709,-67.0131971,0.0112611757241233,J130640.12-670047.5,AWI0004for,0.733333333333333,304.4219378,-4.1854385,6.766,0.059,6.591,0.023,5.847,0.015,5.078,0.027,8.459,0.027,7.51,0.049,6.97,0.026,0.949,0.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5857420739857826048,13.04626,0.263721337124927,0.115143143216084,-5.97528047363529,0.163812623119636,-0.842328551970023,0.172202856803051,307,8046.13,18,164.2252,13.04626,30.24688,16.25769,44.1106,11.44937,1.892374,NaN,NaN,5857420739857826048,0.0779064991350125,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,336952774,-5.7,3.5,-12.5,3.5,ucac4,NaN,NaN,,0.121238396686391,0,https://talk.diskdetective.org/#/subjects/AWI0004for
AWI0005bhs,259.6845,-8.31397222222222,280705,259.684503,-8.3139739,0.0122752938188315,J171844.28-081850.3,AWI0005bhs,0.8,14.3249313,16.2979595,6.403,0.087,6.3,0.027,5.041,0.014,4.046,0.023,7.85,0.023,6.884,0.036,6.51,0.024,0.965999999999999,0.374000000000001,12.743,2.14,14.883,13.791,11.934,10.433,0.21,0.296,0.208,0.208,0.206,0.164,1415017,0.13025287284538,0,4359685310624550656,11.11792,0.255077398775008,0.0681128607572465,-5.38491220222723,0.129901119113497,-3.78370705518315,0.0929344604357542,162,798.8781,10,122.2083,11.11792,24.54823,12.73668,50.37695,9.890818,1.484135,-365.353707429259,0.669164999129198,4359685310624550656,0.0541257419177203,1,-999,-999,10.3055,0.113376,11.4637,0.005712,9.82571,0.025031,9.66233,0.091054,13,0.0573014074905671,48,170921958,-3.2,3.3,-4.1,4,ucac4,NaN,NaN,,0.216535694519773,0,https://talk.diskdetective.org/#/subjects/AWI0005bhs
AWI0000xbx,45.9144583333333,59.2170833333333,66128,45.9144632,59.2170857,0.0123688554248009,J030339.47+591301.5,AWI0000xbx,0.733333333333333,139.1422902,0.5718199,6.817,0.069,6.765,0.02,6.369,0.016,5.687,0.038,8.802,0.024,7.557,0.017,7.043,0.026,1.245,0.514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,461320689217991424,13.45935,0.0617336779904755,0.0994725068181996,1.63776651125482,0.121548638200919,0.503718851807649,0.194997303517086,434,6884.16,14,421.9507,13.45935,39.87652,16.81462,93.01285,11.87162,1.872071,NaN,NaN,461320689217991424,0.0537893124619968,5,17.6641,0.01106,12.67,-999,15.402,0.026339,10.873,-999,11.444,-999,80,0.0372680196796011,25,251594593,-5.5,5.1,0.3,5.1,ucac4,NaN,NaN,,0.188649627976506,0,https://talk.diskdetective.org/#/subjects/AWI0000xbx
AWI00044s0,226.869541666667,-62.15925,206160,226.8695485,-62.1592514,0.012545484045962,J150728.69-620933.3,AWI00044s0,0.733333333333333,318.1011106,-3.3630633,6.934,0.059,7.037,0.02,6.385,0.016,5.641,0.036,9.011,0.032,7.812,0.038,7.262,0.021,1.199,0.550000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5874561988706781440,13.85397,-0.0290467205416506,0.131403230472954,-8.3355041941665,0.153362454205083,-6.62975006924328,0.182855666961282,281,4329.371,15,225.8352,13.85397,42.61715,17.52256,91.94759,12.24422,1.901376,NaN,NaN,5874561988706781440,0.0119171564697402,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,454594351,-8.6,8.2,-19.3,7.8,ucac4,NaN,NaN,,0.151799509145851,0,https://talk.diskdetective.org/#/subjects/AWI00044s0
AWI0003dzu,185.656125,-64.5858611111111,192580,185.6561299,-64.5858639,0.0125742499296405,J122237.47-643509.1,AWI0003dzu,0.6,299.8455155,-1.8868396,6.172,0.062,6.172,0.021,5.651,0.015,4.956,0.027,8.021,0.024,6.88,0.024,6.336,0.023,1.141,0.544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,6053421877300886784,12.64283,0.462253840840982,0.113215544803185,-6.53418852199297,0.195121638796509,0.810709697700379,0.154118330807586,310,7159.397,18,226.0862,12.64283,32.72303,16.05652,62.96177,11.09039,1.811506,NaN,NaN,6053421877300886784,0.11771900908218,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,311351777,-2.9,3.4,3.2,3.4,ucac4,NaN,NaN,,0.0780255554012893,1,https://talk.diskdetective.org/#/subjects/AWI0003dzu
AWI00042j1,128.656041666667,-45.6748333333333,210417,128.6560465,-45.6748351,0.013720932240609,J083437.45-454029.4,AWI00042j1,0.733333333333333,263.8765382,-3.1863288,7.592,0.031,7.574,0.019,7.104,0.016,6.497,0.058,9.545,0.024,8.329,0.029,7.865,0.018,1.216,0.464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5521922599306387072,13.72549,0.108085167509728,0.10072946681423,-2.96334675128539,0.201355128020085,4.12966419818036,0.16404446419996,181,2307.646,14,150.259,13.72549,23.13626,16.50761,56.85767,12.26325,1.694556,NaN,NaN,5521922599306387072,0.0749775530512535,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,140926038,3.8,4.1,13.6,4.1,ucac4,NaN,NaN,,0.119008641944417,0,https://talk.diskdetective.org/#/subjects/AWI00042j1
AWI00017j2,286.315125,9.10566666666667,22966,286.3151287,9.1056679,0.0138813715098274,J190515.63+090620.4,AWI00017j2,0.533333333333333,42.6043034,1.0998418,7.445,0.029,7.246,0.02,6.435,0.016,5.62,0.044,10.508,0.022,8.753,0.026,7.889,0.034,1.755,0.864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4307648861258339072,17.40086,0.199635899487214,0.314203391704439,-3.11761257656029,0.480408610787166,-5.34845076921035,0.454303470815376,189,1645.135,12,87.26276,17.40086,4.634543,21.12923,27.95029,15.51493,2.443536,NaN,NaN,4307648861258339072,0.056940205713106,10,22.256,-999,17.79,0.022541,21.9224,0.05445,13.6911,0.012602,15.3046,0.00353,41,0.0556056659477322,40,223664475,-9.2,5.5,5.2,5.7,ucac4,NaN,NaN,,13.730539459671,0,https://talk.diskdetective.org/#/subjects/AWI00017j2
AWI0003vab,269.562458333333,-28.3163055555556,189195,269.5624598,-28.3163092,0.0139190603432905,J175814.99-281858.7,AWI0003vab,0.666666666666667,1.9465888,-2.0680473,8.05,0.024,8.073,0.022,7.486,0.023,6.848,0.093,9.848,0.023,8.717,0.046,8.245,0.023,1.131,0.472000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4062645299418788992,14.35598,-0.131852952652167,0.284846721667366,-0.161367836815035,0.372810867395949,-4.83933579983354,0.317987285591303,96,1720.042,8,379.5833,14.35598,26.20051,17.36934,77.95015,12.77296,1.876446,NaN,NaN,4062645299418788992,0.0361017835281133,58,18.5759,0.030497,13.46,-999,16.4767,0.046146,11.814,-999,12.335,-999,78,0.0736665611479641,92,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0003vab
AWI00002li,162.756791666667,81.4178055555556,248026,162.7568157,81.4178075,0.0146867067517071,J105101.63+812504.1,AWI00002li,0.538461538461538,128.1398525,34.4563412,8.729,0.023,8.408,0.02,7.932,0.017,7.477,0.098,9.948,0.024,9.328,0.027,9.089,0.021,0.620000000000001,0.238999999999999,12.93,1.499,14.429,13.692,12.506,11.852,0.097,0.146,0.109,0.151,0.099,0.522,60978579,0.070920693703022,0,1134036361607787008,12.34428,0.0644968532956265,0.0284090467606021,0.603578928791689,0.0532582025050866,-3.1371106479029,0.0456519466882245,200,394.5855,16,48.54558,12.34428,9.867519,13.30369,19.23933,11.28074,1.437584,-288.127148719846,1.4557910732353,1134036361607787008,0.0675533127219859,0,13.354,-999,11.717,-999,12.26,-999,11.178,-999,11.359,-999,82,0.06999268158111,14,372757245,-1,1.2,-5,1.5,ucac4,NaN,NaN,,0.0404920843961279,0,https://talk.diskdetective.org/#/subjects/AWI00002li
AWI0005chg,244.566083333333,-21.1963333333333,223391,244.5660875,-21.1963348,0.0149487244895368,J161815.86-211146.8,AWI0005chg,0.533333333333333,354.2797326,20.4467694,6.265,0.094,5.91,0.045,5.328,0.014,4.712,0.034,7.85,0.023,6.958,0.051,6.495,0.018,0.891999999999999,0.463,13.621,1.695,15.316,15.541,13.797,11.799,0,0.044,-0.044,0.919,0.806,0.84,11485038,0.152880090993866,0,6244352380701410816,11.75877,-0.0470483081874483,0.1185991153329,-6.02717480102714,0.259611227567522,1.38278022917229,0.179908586356318,413,7325.907,10,90.46365,11.75877,130.7314,14.04214,253.4945,10.18891,1.898217,NaN,NaN,6244352380701410816,0.0357399612370082,4,15.1645,0.003266,11.258,-999,13.083,-999,9.602,-999,10.17,-999,54,0.0163365638542673,43,49859729,-5.4,2.3,2.5,2.4,ucac4,NaN,NaN,,0.0680203942934825,0,https://talk.diskdetective.org/#/subjects/AWI0005chg
AWI0005xdo,237.94125,-80.17075,341482,237.9412746,-80.1707509,0.0154615859860253,J155145.90-801014.7,AWI0005xdo,0.866666666666667,310.3230255,-19.9993866,6.96,0.053,6.716,0.021,6.232,0.015,5.873,0.041,8.455,0.024,7.589,0.051,7.249,0.021,0.866,0.340000000000001,11.77,1.935,13.705,12.731,11.052,10.096,0.199,0.302,0.227,0.25,0.236,0.047,35284281,0.0728545093192114,0,5778243975479564800,11.34263,0.114390703838194,0.0354923015874901,-0.0435547938838905,0.0572206121226409,10.8130089421764,0.0622544013755616,256,1407.896,18,68.53944,11.34263,14.5672,12.62486,26.51696,10.13485,1.520866,NaN,NaN,5778243975479564800,0.0596348079356573,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,407227218,0.5,1.5,12.2,1.6,ucac4,NaN,NaN,,0.246149431751363,0,https://talk.diskdetective.org/#/subjects/AWI0005xdo
AWI0001yq1,269.820916666667,-17.4063888888889,15039,269.8209176,-17.4063931,0.0154953184755181,J175917.02-172423.0,AWI0001yq1,0.533333333333333,11.5270047,3.1636346,6.834,0.069,6.846,0.021,6.162,0.017,5.39,0.036,8.846,0.021,7.653,0.051,7.051,0.02,1.193,0.601999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4143857088072039936,13.74139,0.0183232501093156,0.190909638774597,0.614682281172267,0.336958210513181,-5.19109445730763,0.26936284780198,141,3679.903,11,350.9926,13.74139,43.84133,17.43427,65.61905,12.13031,1.903129,NaN,NaN,4143857088072039936,0.101345021558313,45,18.6385,0.01085,12.722,-999,16.05,0.00228,10.928,-999,11.505,-999,64,0.152048289123053,67,102824778,24.7,13.9,-3.1,13.9,ucac4,NaN,NaN,,0.190122956101185,0,https://talk.diskdetective.org/#/subjects/AWI0001yq1
AWI0002a18,271.409833333333,-11.73925,81873,271.4098377,-11.7392508,0.0156583309467051,J180538.36-114421.3,AWI0002a18,0.6,17.2337195,4.6001226,6.056,0.106,5.754,0.046,5.146,0.014,4.491,0.031,8.115,0.029,6.881,0.042,6.272,0.026,1.234,0.609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4151060916375042304,13.64873,0.500956903934906,0.239647938528576,-2.89085160451233,0.483210607854573,-2.68945302175472,0.493881298668807,126,3907.469,10,172.5913,13.64873,29.87857,18.1055,71.99855,11.92266,2.100671,NaN,NaN,4151060916375042304,0.26365691469546,7,19.5989,0.01492,12.635,-999,17.0179,0.005804,10.314,-999,11.088,-999,69,0.273221381550776,49,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0002a18
AWI00063ys,201.094958333333,48.07725,315749,201.0949618,48.0772537,0.0157145988906508,J132422.79+480438.1,AWI00063ys,0.8,108.0712476,68.0894525,8.506,0.023,8.257,0.02,7.469,0.018,6.85,0.075,10.08,0.018,9.316,0.017,9.083,0.019,0.763999999999999,0.233000000000001,13.816,1.521,15.337,14.395,13.162,11.815,0.011,0.041,0.039,0.068,0.071,0.035,53608325,0.20396205005946,0,1552846598396618496,12.93323,-0.086503179933409,0.0479870735003228,-4.21954858499851,0.0579062520498339,-3.02332810180966,0.0714103174274771,337,1733.76,19,63.01179,12.93323,14.4058,14.44105,23.33389,11.65428,1.566414,NaN,NaN,1552846598396618496,0.0514786342214572,0,14.5588,0.031289,13.9523,0.053852,12.982,-999,11.47,-999,11.722,-999,89,0.038646715921836,48,165455083,-4.7,2.4,-5.3,2.6,ucac4,NaN,NaN,,0.0556600080267782,0,https://talk.diskdetective.org/#/subjects/AWI00063ys
