Name,RA,DEC,MatchID,MatchRA,MatchDEC,dstArcSec,designation,ZooniverseID,goodFraction,glon,glat,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,j_h,h_k,A_Vmag,A_B_V,A_Bmag,A_gMag,A_rMag,A_iMag,A_Verr,A_B_Verr,A_Berr,A_gErr,A_rErr,A_iErr,A_objid,A_dstArcSec,A_contamination,G_source_id,G_phot_g_mean_mag,G_parallax,G_parallax_error,G_pmra,G_pmra_error,G_pmdec,G_pmdec_error,G_astrometric_n_good_obs_al,G_astrometric_chi2_al,G_visibility_periods_used,G_phot_g_mean_flux_over_error,G_phot_g_mean_mag1,G_phot_bp_mean_flux_over_error,G_phot_bp_mean_mag,G_phot_rp_mean_flux_over_error,G_phot_rp_mean_mag,G_phot_bp_rp_excess_factor,G_radial_velocity,G_radial_velocity_error,G_objid,G_dstArcSec,G_contamination,P_gMeanPSFMag,P_gMeanPSFMagErr,P_iMeanPSFMag,P_iMeanPSFMagErr,P_rMeanPSFMag,P_rMeanPSFMagErr,P_yMeanPSFMag,P_yMeanPSFMagErr,P_zMeanPSFMag,P_zMeanPSFMagErr,P_nDetections,P_dstArcSec,P_contamination,T_id,T_pmRA,T_e_pmRA,T_pmDEC,T_e_pmDEC,T_PMflag,T_plx,T_e_plx,T_PARflag,T_dstArcSec,T_contamination,ZooniverseURL
AWI0002m7s,277.802208333333,4.52272222222222,143093,277.8022453,4.52274,0.14729617529107,J183112.53+043121.8,AWI0002m7s,0.666666666666667,34.6686396,6.5555694,7.275,0.03,7.245,0.02,6.572,0.015,5.732,0.046,9.204,0.022,8.057,0.026,7.519,0.023,1.147,0.538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4284205108699168640,13.54891,-0.0909560984296471,0.134219659750457,4.28009136147205,0.222583804643925,1.30465783333471,0.236513908088305,104,1400.514,9,212.7259,13.54891,28.77385,16.81526,135.2463,12.03972,1.746594,NaN,NaN,4284205108699168640,0.0284448205812441,6,17.5252,0.023474,12.97,-999,15.4591,0.00176,11.222,-999,11.77,-999,66,0.0850588044704552,39,370260385,-4.3,5.2,8.7,5.6,ucac4,NaN,NaN,,0.100634671225898,0,https://talk.diskdetective.org/#/subjects/AWI0002m7s
AWI0001u4m,252.924541666667,-37.9756388888889,72398,252.9245803,-37.9756663,0.147502940872159,J165141.89-375832.3,AWI0001u4m,0.6,346.1491846,3.9857405,7.341,0.029,7.284,0.018,6.704,0.018,5.995,0.059,9.229,0.023,8.04,0.044,7.582,0.021,1.189,0.457999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5971291249266080768,13.49152,0.025365356175846,0.129311950166078,-4.08464293963349,0.206298104034002,-0.677383861416636,0.142726294883043,239,2981.84,12,266.2757,13.49152,43.76277,16.38616,92.45737,12.00101,1.732183,NaN,NaN,5971291249266080768,0.103691247017636,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,337527768,3.4,4.6,-1.2,4.7,ucac4,NaN,NaN,,0.0924517243065243,0,https://talk.diskdetective.org/#/subjects/AWI0001u4m
AWI0005b2y,242.571666666667,-30.2365833333333,248584,242.571708,-30.2366037,0.147995047410825,J161017.20-301411.7,AWI0005b2y,0.533333333333333,346.0864409,15.5201486,7.08,0.051,6.69,0.023,5.991,0.016,5.448,0.042,8.809,0.021,7.984,0.033,7.501,0.051,0.824999999999999,0.483,14.209,1.403,15.612,14.925,13.54,11.042,0.47,0.582,0.343,0.314,0.404,0.163,16619959,0.978164503789431,0,6038510785947362560,12.72435,-0.0300403339072721,0.110444790705412,-8.45577999388308,0.2516613546538,-5.32812056694978,0.124823028377219,380,5033.98,12,30.03716,12.72435,5.00273,15.0807,12.35816,10.91861,2.331286,NaN,NaN,6038510785947362560,0.0692471475064197,4,16.7944,0.010273,11.873,-999,13.111,-999,10.534,-999,10.942,-999,29,0.0901850844438648,19,95098322,-4.3,1.7,-2.1,2.3,ucac4,NaN,NaN,,0.177207681426413,0,https://talk.diskdetective.org/#/subjects/AWI0005b2y
AWI0005l0a,274.994458333333,1.09097222222222,338883,274.9944956,1.0909897,0.148159735840673,J181958.67+010527.5,AWI0005l0a,0.533333333333333,30.3050131,7.4953997,7.008,0.033,7.028,0.02,6.407,0.016,5.618,0.048,8.828,0.024,7.693,0.046,7.172,0.026,1.135,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4276479939995283840,13.24591,0.215898543832732,0.118069463211372,-5.05520373523982,0.200039298111897,-3.73450549232454,0.202042404842306,175,3447.922,11,265.5096,13.24591,39.19014,16.42066,114.5466,11.71949,1.777153,NaN,NaN,4276479939995283840,0.0287665436322631,10,17.5886,0.010426,12.88,-999,15.3243,0.004344,10.833,-999,11.522,-999,74,0.0407494845318119,36,168180319,1.7,6.9,-7.2,7.1,ucac4,NaN,NaN,,0.0850584466625104,0,https://talk.diskdetective.org/#/subjects/AWI0005l0a
AWI0002vep,88.29825,23.5904444444444,110243,88.2982903,23.5904627,0.148311512747428,J055311.58+233525.6,AWI0002vep,0.8,185.4578579,-1.2933568,6.437,0.078,6.3,0.025,5.627,0.016,4.87,0.031,8.522,0.029,7.294,0.018,6.829,0.031,1.228,0.465,99.999,99.999,99.999,17.677,14.997,12.525,9.999,9.999,9.999,0.189,0.052,0.589,46171786,0.199383911928956,0,3427449224368662400,12.98865,0.363091602662942,0.181032482138002,0.00115130608038946,0.302211175203001,-1.3378337557783,0.242209684538869,133,4099.556,11,184.7768,12.98865,31.61133,16.307,55.38545,11.41806,1.844405,NaN,NaN,3427449224368662400,0.00738376084811799,1,17.387,0.08242,12.244,-999,14.8391,0.020524,10.451,-999,11.053,-999,53,0.0560861964868968,32,114512830,-3.3,4.6,4.1,4.8,ucac4,NaN,NaN,,0.100418037005195,0,https://talk.diskdetective.org/#/subjects/AWI0002vep
AWI0005ukd,284.77225,-17.3211111111111,302500,284.7722887,-17.3211294,0.148406320403204,J185905.34-171916.0,AWI0005ukd,0.533333333333333,18.2242784,-9.4459228,7.917,0.024,7.584,0.02,6.575,0.016,5.861,0.05,9.687,0.022,8.938,0.022,8.435,0.033,0.748999999999999,0.503,13.12,2.002,15.122,14.115,12.457,11.24,0.197,0.202,0.045,0.089,0.353,0.014,9876013,0.512487678198876,0,4088432390463794304,13.24797,0.0922054928720994,0.105037906091845,0.339071324826508,0.15990903856035,-1.29652350699248,0.118014083671839,122,596.962,9,25.36938,13.24797,5.406094,15.22615,9.7877,11.86639,1.639292,NaN,NaN,4088432390463794304,0.0156161607900973,7,15.7517,0.201471,12.468,-999,15.0786,0.020033,11.288,-999,11.649,-999,80,0.0342357921579235,43,311007557,-6,5.4,-0.5,4.4,ucac4,NaN,NaN,,0.129533451490566,0,https://talk.diskdetective.org/#/subjects/AWI0005ukd
AWI000184t,290.399583333333,16.9447222222222,18722,290.3996244,16.9447348,0.14849371499484,J192135.90+165641.0,AWI000184t,0.533333333333333,51.3949947,1.2137656,7.717,0.022,7.603,0.019,7.165,0.02,6.344,0.07,11.1,0.023,9.149,0.031,8.324,0.023,1.951,0.824999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4322646302947962496,17.77096,-0.0165687443529382,0.23766177178946,-1.66580708177567,0.37057513241388,-4.88646411788602,0.347619900181321,248,1238.299,14,208.6759,17.77096,3.012932,20.4931,82.80637,15.90083,2.444683,NaN,NaN,4322646302947962496,0.0200299021238539,10,22.715,-999,17.9965,0.017041,21.9696,0.024337,14.1743,0.020861,15.7602,0.007803,43,0.0192798817152034,38,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI000184t
AWI0001jke,268.966791666667,-21.0082777777778,33610,268.9668257,-21.0083041,0.148530495871994,J175552.03-210029.8,AWI0001jke,1,7.9998357,2.0639428,6.48,0.084,6.55,0.023,5.455,0.015,4.387,0.032,8.582,0.023,7.337,0.033,6.745,0.027,1.245,0.592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4071043201771631360,14.33394,-0.0270723278616797,0.217734122018829,-2.86974610122711,0.399512220631036,-5.51999257468442,0.318775545116202,167,6394.857,11,169.8676,14.33394,20.36858,18.47548,35.87399,12.58462,2.149936,NaN,NaN,4071043201771631360,0.110849893197089,48,20.0986,0.025694,12.074,-999,16.9884,0.003558,10.498,-999,11.029,-999,42,0.134281377020349,59,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0001jke
AWI0001myu,283.098625,5.17480555555556,23028,283.0986631,5.1748218,0.148592501243485,J185223.67+051029.3,AWI0001myu,0.533333333333333,37.6483827,2.1450089,7.228,0.035,7.111,0.019,6.33,0.018,5.382,0.054,10.178,0.021,8.396,0.036,7.62,0.027,1.782,0.776000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4282256980246809344,16.54568,0.0947724356353118,0.235262313118952,-2.61628031098076,0.397999693670335,-5.16882327796929,0.425950674502778,157,1949.83,10,87.60955,16.54568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4282256980246809344,0.037308733239569,2,22.649,-999,16.6979,0.002575,20.7726,0.027804,13.1869,0.001213,14.6387,0.004279,47,0.0278474886507619,36,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0001myu
AWI0005klb,270.61,-2.71213888888889,296176,270.6100407,-2.7121462,0.148703683713846,J180226.40-024243.7,AWI0005klb,0.533333333333333,24.8419691,9.6157981,6.877,0.054,6.882,0.02,6.097,0.015,5.077,0.035,8.737,0.037,7.694,0.075,7.115,0.02,1.043,0.579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4177953282844996480,13.18224,0.450719281110847,0.171975245357732,0.663579223576312,0.303979969934365,-4.61263986728319,0.272557752555174,114,2464.931,9,102.779,13.18224,16.37463,16.52011,30.77515,11.61847,1.832475,NaN,NaN,4177953282844996480,0.106979302444417,6,17.1686,0.045644,12.652,-999,15.0261,0.001461,10.675,-999,11.343,-999,64,0.0941336967586196,30,105068572,3.3,3.9,4.2,4.1,ucac4,NaN,NaN,,0.0539232090216979,0,https://talk.diskdetective.org/#/subjects/AWI0005klb
