Name,RA,DEC,MatchID,MatchRA,MatchDEC,dstArcSec,designation,ZooniverseID,goodFraction,glon,glat,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,j_h,h_k,A_Vmag,A_B_V,A_Bmag,A_gMag,A_rMag,A_iMag,A_Verr,A_B_Verr,A_Berr,A_gErr,A_rErr,A_iErr,A_objid,A_dstArcSec,A_contamination,G_source_id,G_phot_g_mean_mag,G_parallax,G_parallax_error,256,G_distance,G_distance_error,G_dist_mod,,,G_pmra,G_pmra_error,G_pmdec,G_pmdec_error,G_astrometric_n_good_obs_al,G_astrometric_chi2_al,G_visibility_periods_used,G_phot_g_mean_flux_over_error,G_phot_g_mean_mag1,G_phot_bp_mean_flux_over_error,G_phot_bp_mean_mag,G_phot_rp_mean_flux_over_error,G_phot_rp_mean_mag,G_phot_bp_rp_excess_factor,G_radial_velocity,G_radial_velocity_error,G_objid,G_dstArcSec,G_contamination,P_gMeanPSFMag,P_gMeanPSFMagErr,P_iMeanPSFMag,P_iMeanPSFMagErr,P_rMeanPSFMag,P_rMeanPSFMagErr,P_yMeanPSFMag,P_yMeanPSFMagErr,P_zMeanPSFMag,P_zMeanPSFMagErr,P_nDetections,P_dstArcSec,P_contamination,T_id,T_pmRA,T_e_pmRA,T_pmDEC,T_e_pmDEC,T_PMflag,T_plx,T_e_plx,T_PARflag,T_dstArcSec,T_contamination,ZooniverseURL
AWI0004y4e,308.654625,30.05355556,253247,308.6546439,30.0535667,0.071259706,J203437.11+300312.8,AWI0004y4e,0.933333333,71.3223242,-6.1339522,7.487,0.032,7.472,0.02,6.794,0.016,5.985,0.043,9.218,0.03,8.099,0.029,7.711,0.016,1.119,0.388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1.8608E+18,13.11446,0.276785141,0.081277985,3.405413441,3612.910704,1060.931592,12.78928614,0.45842918,0.325173861,-1.876350992,0.116903474,-2.287725643,0.110465852,353,5135.606,16,227.0754,13.11446,39.14985,15.67914,86.11066,11.67554,1.672282,NaN,NaN,1.8608E+18,0.055592116,3,16.5261,0.009158,-999,-999,14.5507,0.003178,11.9125,0.001,12.3641,0.001395,11,0.058837122,27,381202934,-1.1,4.4,-1.4,4.2,ucac4,NaN,NaN,,0.152444607,0,https://talk.diskdetective.org/#/subjects/AWI0004y4e
AWI0005nx7,167.5439167,-68.90811111,349454,167.5439207,-68.9081338,0.081846964,J111010.54-685429.2,AWI0005nx7,0.666666667,293.9965362,-7.8115706,6.163,0.098,5.906,0.041,5.373,0.015,4.734,0.027,7.328,0.018,6.461,0.031,6.158,0.024,0.867,0.303,11.59,1.809,13.399,12.416,10.917,99.999,0.37,0.518,0.364,0.366,0.389,9.999,33220407,0.471549278,0,5.23472E+18,10.81534,0.276166018,0.045832104,6.025601982,3621.010318,600.9375212,12.79414881,0.259112315,-1.978808812,-11.5627973,0.079906639,10.14864397,0.068196511,246,1675.144,18,66.72292,10.81534,14.64723,12.60225,26.5035,9.484529,1.592657,NaN,NaN,5.23472E+18,0.109963066,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400970285,-16.4,2.7,7.5,2.7,ucac4,NaN,NaN,,0.14297085,0,https://talk.diskdetective.org/#/subjects/AWI0005nx7
AWI0000xae,33.08620833,62.35416667,19456,33.0862473,62.354184,0.090169523,J021220.69+622115.0,AWI0000xae,0.933333333,132.1646552,0.9416882,7.367,0.033,7.358,0.021,6.409,0.016,5.58,0.034,9.261,0.02,8.039,0.02,7.598,0.02,1.222,0.441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5.14551E+17,13.32034,0.273812967,0.071103552,3.850904183,3652.127991,948.3819429,12.81272995,0.405604525,0.507610054,1.110740612,0.056593715,-1.53076913,0.093061119,570,5042.888,17,211.2873,13.32034,37.24125,15.75807,88.4522,11.89937,1.654568,-46.71124211,2.101792581,5.14551E+17,0.069570694,3,16.6025,0.000749,12.774,-999,14.5857,0.063551,11.201,-999,11.718,-999,54,0.03966714,12,12413063,4.3,3.4,-3.6,3.3,ucac4,NaN,NaN,,0.124233517,1,https://talk.diskdetective.org/#/subjects/AWI0000xae
AWI00066ji,291.4120417,-13.58711111,331760,291.4120661,-13.587137,0.126476105,J192538.89-133513.6,AWI00066ji,0.866666667,24.4603387,-13.6371566,7.184,0.04,7.224,0.019,6.117,0.018,5.309,0.034,8.618,0.021,7.772,0.049,7.483,0.023,0.846,0.289,12.856,1.813,14.67,13.67,12.208,10.802,0.06,0.076,0.047,0.036,0.087,0.177,4481767,0.126000486,0,4.1849E+18,11.77632,0.270375674,0.07200528,3.754942337,3698.557588,984.9838575,12.84016193,0.416219815,-1.063841926,-2.908858557,0.118621681,-0.636119169,0.104042145,144,746.0181,11,68.33878,11.77632,13.69133,13.49004,30.59261,10.52932,1.494714,16.27523354,1.548375123,4.1849E+18,0.051746657,5,13.8197,0.001258,11.17,-999,12.359,-999,10.088,-999,10.468,-999,56,0.129827342,31,114642824,1.8,2.4,-0.8,2.4,ucac4,NaN,NaN,,0.047269901,0,https://talk.diskdetective.org/#/subjects/AWI00066ji
AWI00023vn,153.008,-50.33911111,101010,153.0080116,-50.3391124,0.027053877,J101201.92-502020.8,AWI00023vn,0.6,278.6974059,4.8788269,7.603,0.027,7.671,0.02,6.224,0.015,5.487,0.036,9.052,0.023,8.118,0.049,7.788,0.024,0.934,0.33,13.363,1.792,15.155,14.201,12.693,11.277,0.183,0.221,0.123,0.16,0.172,0.047,24644639,0.321679987,0,5.35868E+18,12.10233,0.269910193,0.037829139,7.134981076,3704.936036,519.2636106,12.84390357,0.219062812,-0.741573572,-7.9995174,0.063343549,6.642751408,0.072450527,241,882.2094,15,448.0156,12.10233,78.75891,13.61857,156.2846,10.91766,1.449932,40.50064893,0.584089331,5.35868E+18,0.137071275,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,310946605,-2.2,1.7,2.9,1.8,ucac4,NaN,NaN,,0.070424332,0,https://talk.diskdetective.org/#/subjects/AWI00023vn
AWI000563i,132.06,-19.89130556,279390,132.0600179,-19.891322,0.084713951,J084814.40-195328.7,AWI000563i,0.866666667,244.8856377,14.6640406,6.949,0.04,6.937,0.021,6.388,0.015,5.891,0.039,8.503,0.026,7.638,0.04,7.334,0.021,0.865,0.304,12.987,1.871,14.858,13.907,12.317,10.819,0,0.03,0.03,0.148,0.069,0.048,3638224,0.08412426,0,5.70435E+18,11.81572,0.26842388,0.062835684,4.271838269,3725.450951,872.0955048,12.85589425,0.365982399,-1.04017425,1.795467335,0.092046223,-7.629593759,0.080790953,294,2188.781,13,182.0569,11.81572,28.23673,13.50657,61.27984,10.53299,1.542869,NaN,NaN,5.70435E+18,0.047533665,0,13.7284,0.001082,11.038,-999,11.984,-999,10.043,-999,10.366,-999,42,0.056966286,33,176496058,1.2,1.6,-9.2,1.5,ucac4,NaN,NaN,,0.069113857,0,https://talk.diskdetective.org/#/subjects/AWI000563i
AWI0005pdh,259.7934167,-53.41355556,334663,259.7934286,-53.4135805,0.093379277,J171910.42-532448.8,AWI0005pdh,0.733333333,336.6692717,-9.1084249,7.177,0.031,6.944,0.02,5.859,0.016,5.187,0.029,8.508,0.034,7.625,0.042,7.268,0.027,0.883,0.357,12.653,1.918,14.571,13.559,11.998,10.781,0.514,0.711,0.491,0.533,0.582,0.315,25400080,0.222140283,0,5.92333E+18,11.85786,0.266888431,0.068946104,3.870971918,3746.884032,967.9439973,12.86835126,0.403991959,-1.010491258,-4.444550336,0.109667618,-6.507713974,0.117288931,147,709.1991,11,43.04879,11.85786,7.474443,13.33672,15.29809,10.45665,1.736261,NaN,NaN,5.92333E+18,0.02994413,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,372990108,-5.8,2,0.3,2,ucac4,NaN,NaN,,0.154981456,0,https://talk.diskdetective.org/#/subjects/AWI0005pdh
AWI0004mx1,302.8239583,26.07319444,197956,302.8239731,26.0732161,0.091421177,J201117.75+260423.5,AWI0004mx1,0.538461538,65.1006809,-4.1596593,7.302,0.038,7.372,0.02,6.87,0.016,5.917,0.046,9.278,0.022,8.027,0.026,7.559,0.023,1.251,0.468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1.8356E+18,13.7203,0.264096248,0.078845038,3.349560805,3786.498323,1130.446212,12.89118884,0.467111135,0.829111156,-3.340398909,0.113534673,-4.110153951,0.123162476,450,5653.412,16,201.6456,13.7203,32.68638,16.82586,83.94336,12.21694,1.743215,NaN,NaN,1.8356E+18,0.06068299,5,18.0079,0.009555,13.074,-999,15.7478,0.008649,11.236,-999,11.852,-999,49,0.074778354,22,245238372,8.7,6.3,-5.9,5.6,ucac4,NaN,NaN,,0.144354466,0,https://talk.diskdetective.org/#/subjects/AWI0004mx1
AWI00056xk,224.1235833,-43.04741667,257751,224.123595,-43.0474199,0.032826185,J145629.66-430250.7,AWI00056xk,0.733333333,325.9584907,14.1635752,6.3,0.089,6.226,0.026,5.438,0.015,4.605,0.027,7.63,0.027,6.781,0.049,6.437,0.026,0.849,0.344,12.182,1.617,13.799,12.915,11.561,10.067,0.106,0.128,0.071,0.068,0.112,0.064,21016561,0.122836848,0,5.90857E+18,10.8223,0.262393212,0.069037357,3.800742453,3811.074193,1002.718348,12.90523702,0.411786197,-2.082937018,0.400202814,0.131862208,-3.23569125,0.122491048,342,2415.153,10,462.3636,10.8223,92.26359,12.57733,251.2313,9.583307,1.479184,-47.72185811,0.246273445,5.90857E+18,0.088297211,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,307420133,3.5,1.2,-3.9,1.1,ucac4,NaN,NaN,,0.10100707,0,https://talk.diskdetective.org/#/subjects/AWI00056xk
AWI00019sp,14.45754167,65.25727778,30646,14.4575542,65.2572841,0.029574487,J005749.81+651526.2,AWI00019sp,0.888888889,123.6012976,2.3939264,6.335,0.086,6.168,0.026,5.7,0.014,4.892,0.031,8.083,0.024,6.919,0.029,6.494,0.018,1.164,0.425,99.999,99.999,99.999,15.734,13.591,11.193,9.999,9.999,9.999,0.174,0.15,0.06,59268098,0.385269898,0,5.24363E+17,12.29393,0.260436631,0.083939923,3.10265512,3839.705631,1237.554766,12.92148965,0.504613994,-0.627559653,-1.122103713,0.120704292,-0.837041202,0.111566225,339,5005.688,19,243.6451,12.29393,37.33364,15.35048,75.28686,10.77898,1.763406,NaN,NaN,5.24363E+17,0.039465006,3,16.3083,0.06138,11.619,-999,13.326,-999,9.939,-999,10.505,-999,48,0.052184294,19,255885117,-0.1,3.4,NaN,3.8,ucac4,NaN,NaN,,0.148905809,0,https://talk.diskdetective.org/#/subjects/AWI00019sp
AWI0005ef7,144.7852083,-39.83511111,352828,144.7852455,-39.835121,0.108736625,J093908.45-395006.4,AWI0005ef7,0.866666667,267.5366703,9.470607,7.845,0.026,7.77,0.019,6.743,0.016,5.859,0.043,9.436,0.021,8.5,0.031,8.112,0.018,0.936,0.388,15.044,1.805,16.849,15.807,14.11,12.179,0.208,0.236,0.111,0.066,0.063,0.053,18142112,0.300361423,0,5.43249E+18,13.15909,0.259598707,0.0610658,4.251130874,3852.099308,906.1351961,12.92848737,0.36834426,0.230602626,-4.345628745,0.081698758,0.722436475,0.094134736,354,3299.656,17,93.55732,13.15909,18.55153,15.36391,35.48774,11.7575,1.645238,NaN,NaN,5.43249E+18,0.037162187,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44229719,0.7,2.9,-1.5,2.9,ucac4,NaN,NaN,,0.043749311,0,https://talk.diskdetective.org/#/subjects/AWI0005ef7
AWI00042di,111.48025,-23.13230556,186505,111.480263,-23.13233,0.097960235,J072555.26-230756.3,AWI00042di,0.666666667,237.33484,-3.2364347,6.517,0.081,6.378,0.025,5.686,0.014,4.824,0.028,8.55,0.032,7.415,0.044,6.824,0.026,1.135,0.591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5.61862E+18,12.94952,0.259411829,0.08504888,3.050149835,3854.874331,1263.831136,12.93005112,0.513395261,0.019468877,-1.1008699,0.119464397,2.367917496,0.143975425,423,5044.821,15,373.2533,12.94952,57.98337,16.15458,178.2844,11.43465,1.757683,NaN,NaN,5.61862E+18,0.085554847,6,17.1821,0.008413,12.604,-999,14.9225,0.035964,10.673,-999,11.265,-999,51,0.075728998,47,139167773,4.1,10.4,4.8,10.5,ucac4,NaN,NaN,,0.106301679,1,https://talk.diskdetective.org/#/subjects/AWI00042di
AWI00019qn,3.607958333,65.06713889,18380,3.6079624,65.0671583,0.070151998,J001425.91+650401.7,AWI00019qn,0.733333333,119.042198,2.4753453,8.068,0.023,8.014,0.02,7.043,0.015,6.349,0.042,9.979,0.02,8.808,0.018,8.397,0.019,1.171,0.411,15.391,2.499,17.891,16.709,14.306,12.909,0.044,0.125,0.117,0.056,0.059,0.049,59244090,0.173918143,0,4.32033E+17,13.72834,0.258182617,0.04319557,5.977062341,3873.227453,648.0152343,12.94036501,0.262048563,0.787974993,-1.407450303,0.06820204,0.743936604,0.061069104,292,1181.84,19,1988.06,13.72834,177.9329,15.59736,477.2075,12.42505,1.546027,-35.59711277,0.767630179,4.32033E+17,0.030728315,2,16.4979,0.004102,13.092,-999,14.3345,0.002555,11.755,-999,12.206,-999,55,0.030434074,23,83802161,5.9,4,-0.8,4,ucac4,NaN,NaN,,0.074648285,0,https://talk.diskdetective.org/#/subjects/AWI00019qn
AWI0004f4h,157.9907917,-62.76372222,224025,157.9908166,-62.763744,0.088510431,J103157.79-624549.4,AWI0004f4h,0.933333333,287.7247656,-4.08524,6.448,0.076,6.388,0.024,5.76,0.015,5.073,0.031,8.021,0.027,7.041,0.049,6.655,0.031,0.98,0.386,99.999,99.999,99.999,14.689,12.993,10.981,9.999,9.999,9.999,-0.013,0,0.009,30318428,0.562474776,0,5.25223E+18,11.86702,0.257254417,0.066851733,3.848133843,3887.202445,1010.15261,12.9481858,0.407091948,-1.081165796,-3.953120921,0.11787323,3.418169005,0.122243278,261,3156.197,18,151.3075,11.86702,34.0131,14.13961,87.84908,10.43267,1.686872,NaN,NaN,5.25223E+18,0.100446333,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460525559,-4.1,2,3,2,ucac4,NaN,NaN,,0.063780341,0,https://talk.diskdetective.org/#/subjects/AWI0004f4h
AWI0005bhs,259.6845,-8.313972222,280705,259.684503,-8.3139739,0.012275294,J171844.28-081850.3,AWI0005bhs,0.8,14.3249313,16.2979595,6.403,0.087,6.3,0.027,5.041,0.014,4.046,0.023,7.85,0.023,6.884,0.036,6.51,0.024,0.966,0.374,12.743,2.14,14.883,13.791,11.934,10.433,0.21,0.296,0.208,0.208,0.206,0.164,1415017,0.130252873,0,4.35969E+18,11.11792,0.255077399,0.068112861,3.744922705,3920.378696,1046.851699,12.9666401,0.418477436,-1.848720103,-5.384912202,0.129901119,-3.783707055,0.09293446,162,798.8781,10,122.2083,11.11792,24.54823,12.73668,50.37695,9.890818,1.484135,-365.3537074,0.669164999,4.35969E+18,0.054125742,1,-999,-999,10.3055,0.113376,11.4637,0.005712,9.82571,0.025031,9.66233,0.091054,13,0.057301407,48,170921958,-3.2,3.3,-4.1,4,ucac4,NaN,NaN,,0.216535695,0,https://talk.diskdetective.org/#/subjects/AWI0005bhs
AWI0000zlq,90.84229167,25.44636111,12533,90.8422928,25.4463874,0.094711683,J060322.15+252646.9,AWI0000zlq,0.533333333,185.0068299,1.6388035,8.14,0.023,8.227,0.019,7.638,0.02,6.845,0.091,9.606,0.022,8.624,0.021,8.268,0.017,0.982,0.356,14.112,2.081,16.193,15.084,13.3,12.241,0.047,0.098,0.086,0.035,0.035,0.456,47478842,0.115887768,0,3.42963E+18,12.81192,0.248152539,0.059416787,4.176471853,4029.779449,964.8764772,13.02640639,0.37571646,-0.214486389,1.003697761,0.104002443,-1.690664177,0.086608489,170,799.9846,11,284.9355,12.81192,64.79414,14.35764,140.3495,11.61354,1.461187,11.10070417,0.547993216,3.42963E+18,0.027169364,4,14.9042,0.00365,12.267,-999,13.272,-999,11.196,-999,11.557,-999,82,0.027901083,19,79897705,-0.5,2.6,-1.4,2.1,ucac4,NaN,NaN,,0.018038289,0,https://talk.diskdetective.org/#/subjects/AWI0000zlq
AWI00056as,178.4797083,-51.34472222,274246,178.479746,-51.3447492,0.128865927,J115355.13-512041.0,AWI00056as,0.733333333,293.8542662,10.5104369,7.182,0.038,7.231,0.02,6.296,0.015,5.383,0.033,8.685,0.024,7.837,0.046,7.416,0.02,0.848,0.421,13.633,1.698,15.33,14.414,12.915,11.186,0.135,0.194,0.139,0.178,0.149,0.16,25770751,0.418741099,0,5.36909E+18,12.05645,0.245336815,0.060071244,4.084097469,4076.029104,998.0244435,13.05118638,0.384416888,-0.994736381,-5.745187171,0.078437603,0.279007014,0.062939959,440,3337.941,17,207.2627,12.05645,35.23127,13.95601,74.70297,10.71845,1.588364,NaN,NaN,5.36909E+18,0.02686481,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400866122,-6.1,1.7,3.7,1.7,ucac4,NaN,NaN,,0.145401833,0,https://talk.diskdetective.org/#/subjects/AWI00056as
AWI0003m5m,112.18725,-23.40327778,193696,112.1872522,-23.4032901,0.044951527,J072844.94-232411.8,AWI0003m5m,0.933333333,237.8822441,-2.7932286,6.758,0.073,6.681,0.023,6.025,0.015,5.277,0.033,8.849,0.032,7.561,0.031,7.027,0.023,1.288,0.534,99.999,99.999,99.999,99.999,99.999,12.789,9.999,9.999,9.999,9.999,9.999,0.084,2515824,0.285390155,0,5.61856E+18,13.50634,0.244288667,0.075668082,3.228424188,4093.517772,1267.961561,13.0604834,0.486400043,0.445856599,-1.056998719,0.110060648,1.418608222,0.119131421,448,4884.166,16,331.5291,13.50634,59.42975,16.91814,96.85378,11.96694,1.790308,NaN,NaN,5.61856E+18,0.046780261,3,17.6595,0.029287,12.826,-999,15.6963,0.00734,10.871,-999,11.524,-999,61,0.071508406,27,139711125,-1.3,3.6,-0.4,3.6,ucac4,NaN,NaN,,0.100719315,0,https://talk.diskdetective.org/#/subjects/AWI0003m5m
AWI0004xoq,295.8160833,11.42186111,207905,295.8161119,11.4218671,0.103083189,J194315.86+112518.7,AWI0004xoq,0.533333333,49.072985,-6.0441577,7.581,0.027,7.671,0.019,6.872,0.015,6.129,0.054,8.93,0.026,8.058,0.036,7.721,0.034,0.872,0.337,13.41,1.772,15.182,14.172,12.729,11.335,0.149,0.18,0.102,0.077,0.14,0.169,42094164,1.437809759,0,4.3031E+18,11.97009,0.244249435,0.065349662,3.737577634,4094.175284,1095.408761,13.06083216,0.420143051,-1.090742161,-0.914374516,0.098950942,-5.181721466,0.079251663,202,859.2597,13,179.4015,11.97009,37.62005,13.48005,82.82143,10.76993,1.469209,-16.68467447,0.444005137,4.3031E+18,0.098946443,9,14.0971,0.009074,11.555,-999,12.781,-999,10.425,-999,10.821,-999,69,0.22194653,37,388513900,-3.3,9,-1,9.3,ucac4,NaN,NaN,,0.165953903,0,https://talk.diskdetective.org/#/subjects/AWI0004xoq
AWI000676m,324.0639583,36.83427778,323388,324.0639757,36.8343015,0.09898026,J213615.35+365003.4,AWI000676m,0.533333333,85.0477742,-11.295918,7.056,0.043,7.124,0.02,6.518,0.015,5.855,0.034,8.525,0.021,7.619,0.027,7.309,0.02,0.906,0.31,12.795,1.985,14.78,13.736,12.09,10.689,0.063,0.093,0.068,0.083,0.041,0.107,50666353,0.072603983,1,1.95191E+18,11.40261,0.244084606,0.060739867,4.018523914,4096.940051,1019.513667,13.06229805,0.390781813,-1.659688046,-4.281797586,0.077835696,-4.011592677,0.096396315,388,3906.428,17,364.9838,11.40261,88.15009,12.83146,152.9302,10.30246,1.37013,-17.59859777,0.571932369,1.95191E+18,0.053040678,5,13.3745,0.001,11.012,-999,11.916,-999,10.055,-999,10.38,-999,55,0.517958377,37,399574141,-3.8,2.5,0.2,2.9,ucac4,NaN,NaN,,0.030989565,0,https://talk.diskdetective.org/#/subjects/AWI000676m
AWI0005fc5,219.319875,-51.14458333,310186,219.3198844,-51.1446073,0.088853483,J143716.77-510840.5,AWI0005fc5,0.533333333,319.3421497,8.3235017,7.395,0.034,7.377,0.019,6.512,0.016,5.724,0.047,8.903,0.021,8.035,0.031,7.678,0.02,0.868,0.357,13.381,1.843,15.225,14.235,12.65,11.271,0.289,0.359,0.213,0.243,0.321,0.182,25893908,0.264082739,0,5.89837E+18,11.87216,0.243038752,0.053092977,4.577606419,4114.570168,898.8475179,13.07162236,0.343121725,-1.199462365,-7.212226838,0.13860761,-3.385049839,0.106778037,147,684.6618,10,84.03648,11.87216,17.05184,13.36034,33.63686,10.71069,1.427853,-74.79843079,1.055158554,5.89837E+18,0.054725383,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,289418696,-14.9,1.9,-3.2,1.9,ucac4,NaN,NaN,,0.084818641,0,https://talk.diskdetective.org/#/subjects/AWI0005fc5
AWI00059et,274.0334583,14.44916667,261142,274.0334611,14.4491914,0.089560855,J181608.03+142657.0,AWI00059et,0.533333333,42.0931178,14.2418077,8.164,0.023,8.152,0.019,7.039,0.016,6.127,0.05,9.482,0.024,8.683,0.049,8.368,0.018,0.799,0.315,13.153,1.754,14.906,14.003,12.512,11.489,0.098,0.118,0.066,0.087,0.127,0.101,42575771,0.208908726,0,4.49773E+18,12.15597,0.242546194,0.037055152,6.545545867,4122.925958,629.8826778,13.07602768,0.239983442,-0.920057678,-0.655723805,0.072521919,4.320393561,0.074772794,422,1129.025,13,296.6432,12.15597,67.81212,13.38991,111.4176,11.0784,1.384648,34.73588557,0.367072589,4.49773E+18,0.036449377,1,13.6154,0.001147,11.604,-999,12.326,-999,10.864,-999,11.13,-999,47,0.2229985,21,406882101,-0.2,4.1,9,4.6,ucac4,NaN,NaN,,0.137661967,0,https://talk.diskdetective.org/#/subjects/AWI00059et
AWI0002e12,197.2398333,-57.39036111,105709,197.2398464,-57.3903636,0.026887295,J130857.56-572325.3,AWI0002e12,0.777777778,305.3014401,5.4008263,7.475,0.025,7.454,0.02,7.062,0.017,6.63,0.058,8.664,0.024,7.792,0.031,7.557,0.015,0.872,0.235,12.465,1.77,14.234,13.321,11.788,10.784,0.314,0.421,0.281,0.288,0.346,0.164,28525183,0.609077837,0,6.06334E+18,11.28119,0.23808348,0.051275286,4.643240408,4200.207415,904.5853855,13.11635369,0.33859105,-1.835163686,-13.32207222,0.051887121,-0.85240639,0.060482415,759,3869.445,18,737.3207,11.28119,240.7836,12.40859,424.0951,10.28747,1.323484,11.16049283,0.630165086,6.06334E+18,0.035547114,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,253500925,-11.4,1.3,1.3,1.3,ucac4,NaN,NaN,,0.141262795,1,https://talk.diskdetective.org/#/subjects/AWI0002e12
AWI0004y96,318.978625,41.17225,264145,318.9786501,41.1722745,0.111380226,J211554.87+411020.1,AWI0004y96,0.6,85.284633,-5.434675,6.863,0.064,6.634,0.022,6.038,0.014,5.552,0.036,9.068,0.019,8.092,0.049,7.644,0.031,0.976,0.448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1.96874E+18,13.40633,0.234987251,0.075372321,3.117686267,4255.550016,1364.970575,13.1447785,0.504572419,0.261551504,-3.464392582,0.126200606,-3.459728702,0.118206834,299,4054.471,16,32.76999,13.40633,4.183537,16.32087,12.18488,11.69775,2.105251,NaN,NaN,1.96874E+18,0.021875407,11,16.8009,0.260085,12.67,-999,16.4113,0.032113,10.897,-999,11.503,-999,70,0.010695757,37,274523620,7.5,6.6,-5.1,6.5,ucac4,NaN,NaN,,0.09504183,0,https://talk.diskdetective.org/#/subjects/AWI0004y96
AWI0005enp,179.7644167,-52.58488889,352695,179.7644306,-52.5849083,0.07623667,J115903.46-523505.6,AWI0005enp,0.8,294.9095151,9.4691028,7.112,0.043,6.796,0.021,5.757,0.015,5.041,0.03,8.495,0.026,7.646,0.067,7.252,0.018,0.849,0.394,13.251,1.483,14.735,13.745,12.495,10.528,0.755,1.011,0.672,0.776,0.874,0.58,26541913,0.140731296,0,5.36886E+18,11.39208,0.234492189,0.069175855,3.389798221,4264.534365,1258.04962,13.14935809,0.464113019,-1.757278092,-4.337096868,0.0968987,-3.454603707,0.07838551,372,2977.996,19,129.4791,11.39208,24.28838,12.8895,41.29662,10.11443,1.566518,NaN,NaN,5.36886E+18,0.006647183,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,332352057,0.1,1.1,-3.6,1.1,ucac4,NaN,NaN,,0.104827595,0,https://talk.diskdetective.org/#/subjects/AWI0005enp
AWI000236a,332.4452917,60.84533333,95103,332.4453069,60.8453584,0.094111741,J220946.87+605043.2,AWI000236a,1,104.4762682,3.9049792,6.255,0.087,6.204,0.026,5.381,0.016,4.447,0.026,8.12,0.027,6.912,0.038,6.467,0.024,1.208,0.445,14.549,2.769,17.318,15.937,13.463,11.385,0,0,0,0.036,0.014,0.035,58386782,0.595460928,0,2.20308E+18,12.35003,0.234444407,0.076897013,3.048810326,4265.403519,1399.038662,13.14980061,0.516025565,-0.799770615,-3.400943254,0.145850729,-0.946188973,0.121377984,218,2534.552,15,86.65932,12.35003,15.48966,14.99316,32.94782,10.88029,1.713628,-54.79018963,0.889399361,2.20308E+18,0.063057372,3,16.1734,0.027637,11.765,-999,13.954,0.007131,10.017,-999,10.604,-999,58,0.134348135,41,335274690,-2.1,5.6,-0.3,5.7,ucac4,NaN,NaN,,0.045644248,0,https://talk.diskdetective.org/#/subjects/AWI000236a
AWI0002q5z,190.9624583,-63.08741667,142936,190.9624974,-63.0874435,0.115688774,J124350.99-630514.7,AWI0002q5z,0.533333333,302.073403,-0.2282632,7.114,0.028,6.768,0.02,5.988,0.015,5.116,0.028,8.316,0.026,7.916,0.053,7.549,0.02,0.4,0.367,10.736,0.795,11.532,11.225,10.303,99.999,0.014,0.07,0.069,0.091,0.019,9.999,30810073,0.20544677,1,6.0551E+18,10.29062,0.23355979,0.038182526,6.116928656,4281.55891,699.9524028,13.15800962,0.257242581,-2.867389619,-5.920603919,0.05205913,-0.408654826,0.046770129,300,668.5901,18,644.9919,10.29062,203.4487,10.95154,205.734,9.509892,1.273277,NaN,NaN,6.0551E+18,0.097308041,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,434254182,-6.0083,0.141064,-0.348373,0.141235,tgas,0.223134,0.24446,tgas,0.217136928,1,https://talk.diskdetective.org/#/subjects/AWI0002q5z
