Name,RA,DEC,MatchID,MatchRA,MatchDEC,dstArcSec,designation,ZooniverseID,goodFraction,glon,glat,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,j_h,h_k,A_Vmag,A_B_V,A_Bmag,A_gMag,A_rMag,A_iMag,A_Verr,A_B_Verr,A_Berr,A_gErr,A_rErr,A_iErr,A_objid,A_dstArcSec,A_contamination,G_source_id,G_phot_g_mean_mag,G_parallax,G_parallax_error,256,G_distance,G_distance_error,G_dist_mod,,,G_pmra,G_pmra_error,G_pmdec,G_pmdec_error,G_astrometric_n_good_obs_al,G_astrometric_chi2_al,G_visibility_periods_used,G_phot_g_mean_flux_over_error,G_phot_g_mean_mag1,G_phot_bp_mean_flux_over_error,G_phot_bp_mean_mag,G_phot_rp_mean_flux_over_error,G_phot_rp_mean_mag,G_phot_bp_rp_excess_factor,G_radial_velocity,G_radial_velocity_error,G_objid,G_dstArcSec,G_contamination,P_gMeanPSFMag,P_gMeanPSFMagErr,P_iMeanPSFMag,P_iMeanPSFMagErr,P_rMeanPSFMag,P_rMeanPSFMagErr,P_yMeanPSFMag,P_yMeanPSFMagErr,P_zMeanPSFMag,P_zMeanPSFMagErr,P_nDetections,P_dstArcSec,P_contamination,T_id,T_pmRA,T_e_pmRA,T_pmDEC,T_e_pmDEC,T_PMflag,T_plx,T_e_plx,T_PARflag,T_dstArcSec,T_contamination,ZooniverseURL
AWI0001cag,212.3705,-58.47302778,14280,212.3705047,-58.4730482,0.074050442,J140928.92-582822.9,AWI0001cag,0.533333333,313.0024639,2.8645324,7.136,0.047,7.128,0.02,6.298,0.016,5.411,0.032,9.451,0.023,8.098,0.031,7.446,0.018,1.353,0.652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,5.86808E+18,15.13582,1.096948525,0.220500502,4.974811916,911.6198047,183.2470896,9.799068758,0.289020113,5.336751242,-9.041396687,0.463313417,-2.851220782,0.497327641,236,5932.519,13,224.8088,15.13582,15.52587,19.69139,58.86316,13.36394,2.189607,NaN,NaN,5.86808E+18,0.113537563,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0001cag
AWI000674o,314.6040417,23.51466667,368425,314.6040739,23.5146773,0.113080177,J205824.97+233052.8,AWI000674o,0.6,69.3400403,-14.3258745,5.783,0.092,5.618,0.06,5.106,0.017,4.559,0.029,7.388,0.024,6.535,0.017,6.103,0.016,0.853,0.432,12.915,1.448,14.363,13.409,12.069,10.733,0.369,0.369,-0.012,0,0.41,0.905,45719730,0.256288239,0,1.83951E+18,10.67712,0.966946275,0.094711487,10.20938752,1034.183621,101.2973226,10.07298828,0.142139111,0.604131723,-2.12099428,0.167782667,-5.911658677,0.138407806,470,6554.301,12,433.7883,10.67712,85.47559,12.75738,206.8966,9.346339,1.559152,NaN,NaN,1.83951E+18,0.08367592,3,13.8889,0.017776,10.472,-999,11.732,-999,9.112,-999,9.527,-999,62,0.12548804,46,289132304,-5.3,2.7,-4.1,3.1,ucac4,NaN,NaN,,0.109545984,0,https://talk.diskdetective.org/#/subjects/AWI000674o
AWI00062g7,334.3786667,-2.126583333,395785,334.3786846,-2.1265868,0.065711526,J221730.88-020735.7,AWI00062g7,0.533333333,60.4303911,-45.4907811,6.318,0.052,5.959,0.022,5.579,0.015,5.842,0.057,6.991,0.021,6.215,0.023,6.026,0.017,0.776,0.189,99.999,99.999,11.335,10.567,99.999,99.999,9.999,9.999,0.027,0.028,9.999,9.999,5423648,1.770487164,0,2.67591E+18,9.185708,0.953272379,0.058221791,16.37312001,1049.018121,64.06953104,10.10391495,0.088720304,-0.918206951,3.692377106,0.076176398,-2.685544605,0.074868438,117,227.0066,8,1328.945,9.185708,531.9808,10.09294,439.4171,8.290985,1.289124,-21.48150656,0.443627073,2.67591E+18,1.793955558,0,-999,-999,-999,-999,13.3867,0.194762,-999,-999,13.5225,0.025777,6,0.831758091,74,439836016,5.36447,1.60452,-3.98841,1.23281,tgas,1.35493,0.564761,tgas,1.862843439,0,https://talk.diskdetective.org/#/subjects/AWI00062g7
AWI00033aa,290.943375,12.23830556,137016,290.9434116,12.2383313,0.158651125,J192346.41+121417.9,AWI00033aa,0.533333333,47.4925991,-1.4697331,6.657,0.066,6.506,0.022,5.53,0.014,4.386,0.027,9.778,0.021,7.952,0.042,7.049,0.023,1.826,0.903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4.31601E+18,16.71703,0.949726954,0.195283154,4.863332729,1052.934209,216.5046621,10.11200618,0.298769002,6.60502382,-3.668340383,0.304208728,-6.518839914,0.280706246,261,2521.972,13,211.987,16.71703,3.321489,21.58441,64.94541,14.84593,2.395334,NaN,NaN,4.31601E+18,0.075726059,8,22.2195,0.044989,17.0584,0.034182,21.3489,0.092405,13.109,0.021379,14.9011,0.004171,57,0.067230227,46,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI00033aa
AWI00020es,279.399875,1.070583333,41847,279.3998922,1.0706021,0.0916357,J183735.97+010414.1,AWI00020es,0.533333333,32.3071295,3.5671181,7.685,0.024,7.541,0.019,6.804,0.016,6.093,0.051,10.273,0.023,8.852,0.023,8.216,0.021,1.421,0.636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4.27354E+18,15.68078,0.923926991,0.274272079,3.368651279,1082.336602,321.2967184,10.17181173,0.43217449,5.508968273,-2.676879177,0.396172051,-6.759621581,0.372785363,105,1809.243,8,86.70555,15.68078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.27354E+18,0.08512732,4,21.8151,0.051532,15.4255,0.003217,18.8298,0.007582,12.5542,0.015594,13.91,0.050174,56,0.092245632,46,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI00020es
AWI00001q1,159.16275,-13.92241667,254760,159.1627895,-13.9224417,0.164838785,J103639.06-135520.7,AWI00001q1,0.566666667,260.1732321,37.5166487,7.757,0.027,7.559,0.02,6.837,0.016,5.444,0.036,8.924,0.024,8.321,0.021,8.115,0.026,0.603,0.206,10.996,1.112,12.108,11.532,10.638,10.283,0.107,0.183,0.148,0.156,0.125,0.133,9467800,0.023277763,0,3.75085E+18,10.65249,0.88486396,0.064966226,13.62036883,1130.117222,82.97258586,10.26561747,0.107210211,0.386872534,-5.203604697,0.092271379,-5.175692568,0.083486794,78,94.63527,8,220.105,10.65249,65.75828,11.2602,71.55855,9.943258,1.237596,7.933378424,2.944280173,3.75085E+18,0.074099998,0,11.743,-999,10.43,-999,10.831,-999,10.053,-999,10.192,-999,52,0.156804693,23,386563165,-7.69724,2.81421,-4.36109,0.81049,tgas,0.459437,0.729997,tgas,0.259265876,0,
AWI0002ccf,306.9110417,46.35147222,71683,306.9110553,46.351474,0.034475864,J202738.65+462105.3,AWI0002ccf,0.733333333,83.7110297,4.5645833,5.862,0.104,5.752,0.048,5.251,0.014,4.567,0.025,7.657,0.023,6.45,0.021,5.922,0.021,1.207,0.528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,2.08309E+18,12.452,0.845482527,0.108234087,7.811610452,1182.756555,151.4100789,10.36447682,0.187518166,2.087523183,-3.307594177,0.182261874,-5.669954892,0.156189411,198,3784.166,16,139.4081,12.452,24.88352,16.13051,42.50766,10.83818,1.908192,NaN,NaN,2.08309E+18,0.23442029,0,17.0872,0.111942,11.529,-999,13.182,-999,9.725,-999,10.293,-999,47,0.304069056,33,193978613,2.1,5.2,-1.6,5,ucac4,NaN,NaN,,0.275450313,0,https://talk.diskdetective.org/#/subjects/AWI0002ccf
AWI0003lvn,44.02975,56.60947222,171958,44.0297873,56.6094866,0.090223658,J025607.14+563634.1,AWI0003lvn,0.733333333,139.4942608,-2.1988267,6.137,0.102,5.982,0.041,5.329,0.016,4.54,0.025,8.179,0.02,6.901,0.018,6.38,0.02,1.278,0.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4.59789E+17,12.89477,0.809581626,0.164774989,4.913255537,1235.205899,251.4027389,10.45869679,0.299012715,2.436073215,1.004259754,0.356957205,-1.464627342,0.323722241,235,8846.975,14,262.8605,12.89477,41.11794,16.4118,88.73929,11.3376,1.816416,NaN,NaN,4.59789E+17,0.0901448,1,17.5188,0.032602,12.564,-999,14.9441,0.006318,10.314,-999,11.067,-999,58,0.112288008,28,251296982,-2.7,5.2,5.7,5.1,ucac4,NaN,NaN,,0.167754087,0,https://talk.diskdetective.org/#/subjects/AWI0003lvn
AWI0002002,276.8309167,-4.178,49259,276.8309546,-4.1780248,0.162851362,J182719.42-041040.8,AWI0002002,0.6,26.454789,3.4399129,7.69,0.025,7.641,0.018,7.14,0.018,6.584,0.071,10.235,0.025,8.582,0.033,7.975,0.021,1.653,0.607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4.25753E+18,15.43387,0.80781668,0.252363643,3.201002614,1237.90462,386.7240266,10.46343592,0.459025283,4.970434082,-4.590093387,0.307279771,-4.369024844,0.261039351,124,1674.044,9,116.6275,15.43387,10.77898,19.34599,43.9017,13.78369,1.967543,NaN,NaN,4.25753E+18,0.06708634,5,20.8154,0.025354,14.9397,0.050284,18.1474,0.006934,12.5525,0.005049,13.5335,0.022506,60,0.054030719,29,,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,https://talk.diskdetective.org/#/subjects/AWI0002002
AWI00059y8,293.3091667,48.69741667,234039,293.3091996,48.6974169,0.078258321,J193314.20+484150.7,AWI00059y8,0.8,81.0222606,13.6511443,8.046,0.022,7.803,0.02,6.744,0.015,5.783,0.034,9.187,0.021,8.635,0.021,8.321,0.016,0.552,0.314,11.227,1.036,12.263,11.695,10.921,10.628,0.09,0.117,0.075,0.073,0.074,0.101,54453549,0.213157008,0,2.12901E+18,10.87292,0.794562997,0.066810536,11.89277989,1258.553449,105.8250014,10.49935832,0.123685837,0.37356168,-1.838547391,0.147822013,-7.511016514,0.131438155,206,2564.704,16,948.7704,10.87292,244.6064,11.43976,498.9989,10.19054,1.233664,26.68729932,0.613146009,2.12901E+18,0.124452056,3,12.939,-999,11.128,-999,11.793,-999,10.456,-999,10.656,-999,98,0.120266498,29,26817683,-5.04725,1.18963,-11.7801,1.24583,tgas,1.46535,0.350771,tgas,0.047312993,0,https://talk.diskdetective.org/#/subjects/AWI00059y8
